arch,optimizer,lag,acf_mag,acf_mag,cos_sim,cos_sim
,,,mean,std,mean,std
mlp2_mnist,adam,0,1.0,0.0,1.0,0.0
mlp2_mnist,adam,1,0.8091,0.1303,0.2033,0.0709
mlp2_mnist,adam,2,0.6869,0.2137,0.3935,0.0413
mlp2_mnist,adam,3,0.6162,0.245,0.3958,0.0436
mlp2_mnist,adam,4,0.565,0.2577,0.3925,0.0445
mlp2_mnist,adam,5,0.5313,0.2517,0.392,0.035
mlp2_mnist,adam,6,0.5029,0.2426,0.3913,0.0399
mlp2_mnist,adam,7,0.4776,0.2312,0.3838,0.0346
mlp2_mnist,adam,8,0.4517,0.2194,0.3902,0.0317
mlp2_mnist,adam,9,0.4265,0.207,0.3827,0.0366
mlp2_mnist,adam,10,0.4027,0.1938,0.3808,0.0274
mlp2_mnist,adam,11,0.3783,0.1842,0.3785,0.0319
mlp2_mnist,adam,12,0.3565,0.1731,0.3778,0.0263
mlp2_mnist,adam,13,0.3339,0.1652,0.3805,0.0255
mlp2_mnist,adam,14,0.3128,0.1559,0.3724,0.0232
mlp2_mnist,adam,15,0.2902,0.1421,0.3727,0.0217
mlp2_mnist,adam,16,0.2744,0.1251,0.3753,0.0236
mlp2_mnist,adam,17,0.2563,0.1126,0.3703,0.0207
mlp2_mnist,adam,18,0.2358,0.1066,0.37,0.0232
mlp2_mnist,adam,19,0.2178,0.1016,0.3722,0.0161
mlp2_mnist,adam,20,0.2025,0.0966,0.3695,0.0167
mlp2_mnist,adam,21,0.1915,0.0904,0.3663,0.0189
mlp2_mnist,adam,22,0.1756,0.0765,0.3693,0.0135
mlp2_mnist,adam,23,0.1586,0.0618,0.3676,0.0091
mlp2_mnist,adam,24,0.1514,0.0494,0.3644,0.0158
mlp2_mnist,adam,25,0.1417,0.0459,0.3628,0.012
mlp2_mnist,adam,26,0.1362,0.0382,0.3667,0.0082
mlp2_mnist,adam,27,0.1279,0.0326,0.3619,0.015
mlp2_mnist,adam,28,0.1229,0.0265,0.359,0.0071
mlp2_mnist,adam,29,0.1195,0.0199,0.3641,0.0067
mlp2_mnist,adam,30,0.1183,0.0116,0.3605,0.0115
mlp2_mnist,adam,31,0.1139,0.0045,0.3619,0.0038
mlp2_mnist,adam,32,0.1092,0.0124,0.3595,0.0103
mlp2_mnist,adam,33,0.1036,0.0159,0.3606,0.0054
mlp2_mnist,adam,34,0.101,0.0223,0.3542,0.0047
mlp2_mnist,adam,35,0.0994,0.0302,0.3604,0.006
mlp2_mnist,adam,36,0.1017,0.0419,0.3552,0.0045
mlp2_mnist,adam,37,0.1009,0.0462,0.3573,0.004
mlp2_mnist,adam,38,0.1024,0.0557,0.3541,0.0063
mlp2_mnist,adam,39,0.1015,0.0592,0.3568,0.0015
mlp2_mnist,adam,40,0.1021,0.0646,0.3496,0.0047
mlp2_mnist,adamw,0,1.0,0.0,1.0,0.0
mlp2_mnist,adamw,1,0.7927,0.0346,0.2037,0.0485
mlp2_mnist,adamw,2,0.5361,0.0636,0.391,0.0302
mlp2_mnist,adamw,3,0.3943,0.0604,0.3882,0.0293
mlp2_mnist,adamw,4,0.3179,0.0539,0.3896,0.0349
mlp2_mnist,adamw,5,0.2819,0.0491,0.3795,0.0259
mlp2_mnist,adamw,6,0.2649,0.0508,0.3775,0.0314
mlp2_mnist,adamw,7,0.2504,0.0519,0.3718,0.0274
mlp2_mnist,adamw,8,0.2353,0.0468,0.3675,0.0259
mlp2_mnist,adamw,9,0.2194,0.045,0.3608,0.0289
mlp2_mnist,adamw,10,0.2073,0.0428,0.3592,0.0224
mlp2_mnist,adamw,11,0.1991,0.0456,0.3571,0.0224
mlp2_mnist,adamw,12,0.1914,0.046,0.3472,0.0237
mlp2_mnist,adamw,13,0.1826,0.0462,0.3468,0.0196
mlp2_mnist,adamw,14,0.1733,0.0491,0.3451,0.0188
mlp2_mnist,adamw,15,0.1661,0.0534,0.341,0.0192
mlp2_mnist,adamw,16,0.1602,0.0583,0.3349,0.0153
mlp2_mnist,adamw,17,0.1528,0.0662,0.332,0.0195
mlp2_mnist,adamw,18,0.1483,0.0705,0.3339,0.0098
mlp2_mnist,adamw,19,0.1393,0.069,0.3289,0.018
mlp2_mnist,adamw,20,0.1368,0.0708,0.3216,0.0128
mlp2_mnist,adamw,21,0.1356,0.0724,0.3219,0.0093
mlp2_mnist,adamw,22,0.1356,0.0726,0.3155,0.0078
mlp2_mnist,adamw,23,0.1372,0.0738,0.3219,0.012
mlp2_mnist,adamw,24,0.1453,0.0767,0.3092,0.0036
mlp2_mnist,adamw,25,0.1486,0.0787,0.3168,0.0102
mlp2_mnist,adamw,26,0.1503,0.0824,0.3052,0.0039
mlp2_mnist,adamw,27,0.1526,0.0917,0.3093,0.0061
mlp2_mnist,adamw,28,0.1534,0.0998,0.3014,0.0056
mlp2_mnist,adamw,29,0.1557,0.1053,0.3039,0.0027
mlp2_mnist,adamw,30,0.1588,0.1028,0.3001,0.0018
mlp2_mnist,adamw,31,0.1693,0.0966,0.2966,0.0035
mlp2_mnist,adamw,32,0.1808,0.0987,0.2937,0.002
mlp2_mnist,adamw,33,0.1824,0.1223,0.2953,0.0034
mlp2_mnist,adamw,34,0.1926,0.1428,0.2908,0.0025
mlp2_mnist,adamw,35,0.2147,0.1774,0.2883,0.0059
mlp2_mnist,adamw,36,0.1998,0.1537,0.2878,0.0043
mlp2_mnist,adamw,37,0.149,0.0963,0.2814,0.0089
mlp2_mnist,adamw,38,0.1217,0.1036,0.2833,0.0025
mlp2_mnist,adamw,39,0.1152,0.1292,0.2838,0.0039
mlp2_mnist,adamw,40,0.1183,0.1537,0.2764,0.0132
mlp2_mnist,sgd,0,1.0,0.0,1.0,0.0
mlp2_mnist,sgd,1,0.7088,0.0059,0.8974,0.0061
mlp2_mnist,sgd,2,0.576,0.0067,0.9169,0.0059
mlp2_mnist,sgd,3,0.4994,0.0066,0.9139,0.0041
mlp2_mnist,sgd,4,0.4501,0.0064,0.9135,0.0052
mlp2_mnist,sgd,5,0.4153,0.006,0.9107,0.0047
mlp2_mnist,sgd,6,0.39,0.0053,0.9069,0.0036
mlp2_mnist,sgd,7,0.3699,0.0053,0.9058,0.0052
mlp2_mnist,sgd,8,0.3533,0.0056,0.9029,0.0034
mlp2_mnist,sgd,9,0.3395,0.0054,0.9001,0.0047
mlp2_mnist,sgd,10,0.3278,0.0041,0.8977,0.0042
mlp2_mnist,sgd,11,0.3173,0.0036,0.8939,0.0041
mlp2_mnist,sgd,12,0.3074,0.0044,0.8936,0.0033
mlp2_mnist,sgd,13,0.2993,0.0044,0.8885,0.007
mlp2_mnist,sgd,14,0.2917,0.0038,0.887,0.0027
mlp2_mnist,sgd,15,0.2846,0.0034,0.8855,0.0043
mlp2_mnist,sgd,16,0.2776,0.0034,0.8816,0.0052
mlp2_mnist,sgd,17,0.2709,0.0038,0.8812,0.0036
