arch,optimizer,seed,C1_10,C11_20,C1_20
mlp2_mnist,adam,242,0.35055185977581654,0.36448066080169234,0.35751626028875444
mlp2_mnist,adam,1242,0.4171326482149415,0.3996857584366845,0.408409203325813
mlp2_mnist,adam,2242,0.3441173684883142,0.3575895035846156,0.35085343603646485
mlp2_mnist,adamw,342,0.35139985822541236,0.3336625252139267,0.3425311917196695
mlp2_mnist,adamw,1342,0.3328907194695657,0.3244161616593791,0.3286534405644724
mlp2_mnist,adamw,2342,0.3923149542313181,0.3584762832397027,0.3753956187355104
mlp2_mnist,sgd,42,0.9107496391805556,0.887102639091033,0.8989261391357942
mlp2_mnist,sgd,1042,0.9071509745758816,0.8845088019842,0.8958298882800408
mlp2_mnist,sgd,2042,0.9018403042395052,0.8790177603419487,0.890429032290727
mlp2_mnist,sgd_momentum,142,0.5948555925458503,0.5866869925947203,0.5907712925702853
mlp2_mnist,sgd_momentum,1142,0.5956237390114325,0.5874671495622221,0.5915454442868274
mlp2_mnist,sgd_momentum,2142,0.6064948497145723,0.5967178209702508,0.6016063353424117
