arch,optimizer,lag,acf_mag,acf_mag,cos_sim,cos_sim
,,,mean,std,mean,std
smallcnn_cifar10,adam,0,1.0,0.0,1.0,0.0
smallcnn_cifar10,adam,1,0.9808,0.0012,0.0042,0.0022
smallcnn_cifar10,adam,2,0.9682,0.0028,0.0247,0.0042
smallcnn_cifar10,adam,3,0.9572,0.0056,0.0334,0.0039
smallcnn_cifar10,adam,4,0.9478,0.0073,0.0351,0.0022
smallcnn_cifar10,adam,5,0.9392,0.009,0.0367,0.0024
smallcnn_cifar10,adam,6,0.9329,0.0098,0.0342,0.0019
smallcnn_cifar10,adam,7,0.9263,0.0088,0.0334,0.0027
smallcnn_cifar10,adam,8,0.921,0.0088,0.0338,0.0022
smallcnn_cifar10,adam,9,0.9148,0.0092,0.0316,0.0025
smallcnn_cifar10,adam,10,0.9055,0.0054,0.0314,0.0024
smallcnn_cifar10,adam,11,0.8974,0.0051,0.0315,0.0006
smallcnn_cifar10,adam,12,0.8909,0.0059,0.0287,0.0023
smallcnn_cifar10,adam,13,0.8831,0.0058,0.0292,0.0013
smallcnn_cifar10,adam,14,0.8754,0.0066,0.0268,0.0004
smallcnn_cifar10,adam,15,0.8687,0.0074,0.0269,0.0017
smallcnn_cifar10,adam,16,0.8601,0.0059,0.0263,0.0009
smallcnn_cifar10,adam,17,0.8528,0.0058,0.0259,0.0014
smallcnn_cifar10,adam,18,0.8443,0.0052,0.0254,0.0019
smallcnn_cifar10,adam,19,0.8349,0.0048,0.0241,0.0009
smallcnn_cifar10,adam,20,0.8263,0.0051,0.0234,0.0011
smallcnn_cifar10,adam,21,0.818,0.0051,0.0232,0.0013
smallcnn_cifar10,adam,22,0.8072,0.005,0.0227,0.0008
smallcnn_cifar10,adam,23,0.7977,0.0048,0.0223,0.0016
smallcnn_cifar10,adam,24,0.7862,0.0055,0.022,0.0013
smallcnn_cifar10,adam,25,0.7758,0.0049,0.0211,0.001
smallcnn_cifar10,adam,26,0.764,0.0054,0.021,0.0008
smallcnn_cifar10,adam,27,0.7532,0.0054,0.0201,0.0013
smallcnn_cifar10,adam,28,0.7427,0.005,0.0203,0.001
smallcnn_cifar10,adam,29,0.7316,0.0043,0.02,0.0017
smallcnn_cifar10,adam,30,0.7188,0.0051,0.0194,0.0011
smallcnn_cifar10,adam,31,0.7043,0.005,0.0186,0.0011
smallcnn_cifar10,adam,32,0.6914,0.0053,0.0188,0.0012
smallcnn_cifar10,adam,33,0.677,0.0035,0.0175,0.001
smallcnn_cifar10,adam,34,0.6619,0.004,0.0183,0.0002
smallcnn_cifar10,adam,35,0.6476,0.0044,0.0179,0.0011
smallcnn_cifar10,adam,36,0.6341,0.0041,0.0168,0.0014
