arch,optimizer,seed,lag,acf_mag,cos_sim
resnet18_cifar10,sgd,20042,0,1.0,1.0
resnet18_cifar10,sgd,20042,1,0.9654782487364914,0.06640403918617088
resnet18_cifar10,sgd,20042,2,0.9428030837329145,0.13161089128487966
resnet18_cifar10,sgd,20042,3,0.9253213662723953,0.13469389668471352
resnet18_cifar10,sgd,20042,4,0.91276010421754,0.13714362527259272
resnet18_cifar10,sgd,20042,5,0.9022991917356622,0.1279095486215717
resnet18_cifar10,sgd,20042,6,0.8921950732048467,0.12859730289768115
resnet18_cifar10,sgd,20042,7,0.8820117755568605,0.12333727365594727
resnet18_cifar10,sgd,20042,8,0.8723560312958192,0.1221449689238454
resnet18_cifar10,sgd,20042,9,0.8627334283711142,0.11502807950983654
resnet18_cifar10,sgd,20042,10,0.8535087059381655,0.11745515609150886
resnet18_cifar10,sgd,20042,11,0.8441824589705843,0.11531901308931329
resnet18_cifar10,sgd,20042,12,0.8341043750642155,0.11034843986894032
resnet18_cifar10,sgd,20042,13,0.8235611353338498,0.11023308331023933
resnet18_cifar10,sgd,20042,14,0.812999702648225,0.10536317848607613
resnet18_cifar10,sgd,20042,15,0.8024081679095101,0.10567211155657837
resnet18_cifar10,sgd,20042,16,0.7914230012509381,0.10444793112854936
resnet18_cifar10,sgd,20042,17,0.780472401399055,0.10201375119954971
resnet18_cifar10,sgd,20042,18,0.7694381216044024,0.09666451817411986
resnet18_cifar10,sgd,20042,19,0.7582190571073362,0.10090739864576652
resnet18_cifar10,sgd,20042,20,0.7471441440926186,0.09698974132178248
resnet18_cifar10,sgd,20042,21,0.7361375628074059,0.0927058240765918
resnet18_cifar10,sgd,20042,22,0.7253227482630263,0.09390873213881876
resnet18_cifar10,sgd,20042,23,0.7128437611592702,0.09293052713632513
resnet18_cifar10,sgd,20042,24,0.701131926628022,0.09096358288259608
resnet18_cifar10,sgd,20042,25,0.6899683973273438,0.08723691519119402
resnet18_cifar10,sgd,20042,26,0.6789570140020057,0.08755111894189746
resnet18_cifar10,sgd,20042,27,0.6676994515453141,0.0857664105487702
resnet18_cifar10,sgd,20042,28,0.6567379039299164,0.08752408831972548
resnet18_cifar10,sgd,20042,29,0.6450597626422754,0.08378284866086931
resnet18_cifar10,sgd,20042,30,0.6331429802200385,0.0829148899858864
resnet18_cifar10,sgd,20042,31,0.6211813542640066,0.082269888684704
resnet18_cifar10,sgd,20042,32,0.6089772883859359,0.08349171092578174
resnet18_cifar10,sgd,20042,33,0.5974267178562797,0.07899083226175382
resnet18_cifar10,sgd,20042,34,0.5857460471828363,0.08117124217532432
