arch,optimizer,lag,acf_mag,acf_mag,cos_sim,cos_sim
,,,mean,std,mean,std
resnet18_cifar10,adam,0,1.0,0.0,1.0,0.0
resnet18_cifar10,adam,1,0.9896,0.0006,-0.0213,0.004
resnet18_cifar10,adam,2,0.9832,0.0015,-0.0174,0.0013
resnet18_cifar10,adam,3,0.9796,0.0017,-0.0058,0.0009
resnet18_cifar10,adam,4,0.9767,0.0019,-0.0003,0.0016
resnet18_cifar10,adam,5,0.9726,0.0021,0.0003,0.0009
resnet18_cifar10,adam,6,0.9687,0.0023,0.002,0.0008
resnet18_cifar10,adam,7,0.9642,0.0029,0.003,0.0007
resnet18_cifar10,adam,8,0.9591,0.0013,0.0029,0.0006
resnet18_cifar10,adam,9,0.9532,0.0011,0.0037,0.0021
resnet18_cifar10,adam,10,0.9471,0.0009,0.0047,0.0015
resnet18_cifar10,adam,11,0.9412,0.001,0.0051,0.0007
resnet18_cifar10,adam,12,0.9335,0.0017,0.0042,0.0002
resnet18_cifar10,adam,13,0.9256,0.0026,0.0049,0.003
resnet18_cifar10,adam,14,0.9191,0.0017,0.0054,0.0012
resnet18_cifar10,adam,15,0.9119,0.0015,0.0055,0.0011
resnet18_cifar10,adam,16,0.9026,0.0024,0.0042,0.0018
resnet18_cifar10,adam,17,0.8921,0.0021,0.0054,0.0027
resnet18_cifar10,adam,18,0.8822,0.0024,0.0046,0.0014
resnet18_cifar10,adam,19,0.8737,0.0016,0.0032,0.0021
resnet18_cifar10,adam,20,0.8641,0.0008,0.0055,0.0012
resnet18_cifar10,adam,21,0.8539,0.0026,0.0054,0.0019
resnet18_cifar10,adam,22,0.8419,0.0041,0.0042,0.0025
resnet18_cifar10,adam,23,0.8297,0.0031,0.0051,0.0016
resnet18_cifar10,adam,24,0.8174,0.0029,0.0039,0.0018
resnet18_cifar10,adam,25,0.8059,0.0021,0.0046,0.0005
resnet18_cifar10,adam,26,0.7931,0.0021,0.0045,0.0019
resnet18_cifar10,adam,27,0.7797,0.0026,0.0052,0.0014
resnet18_cifar10,adam,28,0.7657,0.0016,0.0047,0.0024
resnet18_cifar10,adam,29,0.7506,0.0028,0.0057,0.0005
resnet18_cifar10,adam,30,0.7356,0.0028,0.0019,0.0006
resnet18_cifar10,adam,31,0.7213,0.0028,0.0057,0.0007
resnet18_cifar10,adam,32,0.7059,0.003,0.0048,0.0008
resnet18_cifar10,adam,33,0.6901,0.002,0.0042,0.0008
resnet18_cifar10,adam,34,0.6743,0.0016,0.0031,0.0008
resnet18_cifar10,adam,35,0.6587,0.0007,0.0033,0.0014
resnet18_cifar10,adam,36,0.6429,0.0012,0.0045,0.0008
resnet18_cifar10,adam,37,0.6255,0.0014,0.0043,0.0015
resnet18_cifar10,adam,38,0.6079,0.0021,0.0045,0.0006
resnet18_cifar10,adam,39,0.5906,0.0035,0.0046,0.0018
resnet18_cifar10,adam,40,0.5738,0.0037,0.0044,0.0016
resnet18_cifar10,adamw,0,1.0,0.0,1.0,0.0
resnet18_cifar10,adamw,1,0.9901,0.0008,-0.0213,0.0025
resnet18_cifar10,adamw,2,0.9836,0.0012,-0.018,0.0028
resnet18_cifar10,adamw,3,0.9799,0.0015,-0.007,0.0026
resnet18_cifar10,adamw,4,0.9762,0.0014,-0.0031,0.0016
resnet18_cifar10,adamw,5,0.9717,0.0028,-0.001,0.0014
resnet18_cifar10,adamw,6,0.9682,0.0023,0.0028,0.0021
resnet18_cifar10,adamw,7,0.9637,0.0019,0.0026,0.001
resnet18_cifar10,adamw,8,0.9585,0.0015,0.0023,0.0014
resnet18_cifar10,adamw,9,0.9532,0.0014,0.0032,0.0007
resnet18_cifar10,adamw,10,0.9478,0.0008,0.0033,0.0006
resnet18_cifar10,adamw,11,0.9427,0.001,0.0034,0.0012
resnet18_cifar10,adamw,12,0.9355,0.0005,0.0053,0.0014
resnet18_cifar10,adamw,13,0.9279,0.0012,0.004,0.0024
resnet18_cifar10,adamw,14,0.9189,0.0006,0.005,0.0013
resnet18_cifar10,adamw,15,0.9103,0.0014,0.0042,0.0011
resnet18_cifar10,adamw,16,0.9011,0.0015,0.0045,0.0019
resnet18_cifar10,adamw,17,0.8931,0.0022,0.0042,0.0036
resnet18_cifar10,adamw,18,0.8848,0.0033,0.0037,0.0034
resnet18_cifar10,adamw,19,0.8746,0.0021,0.0036,0.0005
resnet18_cifar10,adamw,20,0.8636,0.0021,0.0039,0.0009
resnet18_cifar10,adamw,21,0.8527,0.0033,0.0039,0.0017
resnet18_cifar10,adamw,22,0.8418,0.0024,0.0045,0.0011
resnet18_cifar10,adamw,23,0.831,0.0016,0.0039,0.0019
resnet18_cifar10,adamw,24,0.8183,0.0021,0.0042,0.0015
resnet18_cifar10,adamw,25,0.8054,0.0018,0.0035,0.0007
resnet18_cifar10,adamw,26,0.7922,0.0018,0.0043,0.0004
resnet18_cifar10,adamw,27,0.7775,0.0019,0.0031,0.0002
resnet18_cifar10,adamw,28,0.7645,0.0011,0.0041,0.0007
resnet18_cifar10,adamw,29,0.7512,0.0019,0.0025,0.001
resnet18_cifar10,adamw,30,0.738,0.002,0.0042,0.0015
resnet18_cifar10,adamw,31,0.7236,0.0011,0.0043,0.0018
resnet18_cifar10,adamw,32,0.708,0.0006,0.0044,0.0012
resnet18_cifar10,adamw,33,0.6926,0.0004,0.0035,0.0006
resnet18_cifar10,adamw,34,0.6771,0.0014,0.0022,0.0014
resnet18_cifar10,adamw,35,0.6609,0.0019,0.0027,0.0014
resnet18_cifar10,adamw,36,0.6447,0.002,0.0037,0.0016
resnet18_cifar10,adamw,37,0.6287,0.0019,0.0039,0.0012
resnet18_cifar10,adamw,38,0.6097,0.0024,0.0031,0.0005
resnet18_cifar10,adamw,39,0.5908,0.0011,0.0038,0.0013
resnet18_cifar10,adamw,40,0.5726,0.0017,0.004,0.0011
resnet18_cifar10,sgd,0,1.0,0.0,1.0,0.0
resnet18_cifar10,sgd,1,0.9642,0.0012,0.0629,0.003
resnet18_cifar10,sgd,2,0.9395,0.0044,0.1295,0.0021
resnet18_cifar10,sgd,3,0.9221,0.0056,0.1338,0.0012
resnet18_cifar10,sgd,4,0.9098,0.0065,0.1318,0.0048
resnet18_cifar10,sgd,5,0.8996,0.0075,0.1285,0.0006
resnet18_cifar10,sgd,6,0.8899,0.0083,0.1251,0.0036
resnet18_cifar10,sgd,7,0.8803,0.0086,0.1211,0.002
resnet18_cifar10,sgd,8,0.8709,0.0085,0.1197,0.0022
resnet18_cifar10,sgd,9,0.8618,0.0089,0.1139,0.001
resnet18_cifar10,sgd,10,0.8532,0.0091,0.1148,0.0024
resnet18_cifar10,sgd,11,0.8441,0.0092,0.1116,0.0032
resnet18_cifar10,sgd,12,0.8348,0.0092,0.1087,0.0015
resnet18_cifar10,sgd,13,0.8252,0.0092,0.1062,0.0037
resnet18_cifar10,sgd,14,0.8154,0.0091,0.1052,0.0002
resnet18_cifar10,sgd,15,0.8053,0.0089,0.1029,0.0024
resnet18_cifar10,sgd,16,0.7947,0.0088,0.1009,0.0031
resnet18_cifar10,sgd,17,0.7838,0.009,0.0992,0.0026
resnet18_cifar10,sgd,18,0.7733,0.0094,0.0966,0.0002
resnet18_cifar10,sgd,19,0.7623,0.0095,0.097,0.0038
resnet18_cifar10,sgd,20,0.7511,0.0098,0.0943,0.0024
resnet18_cifar10,sgd,21,0.7401,0.0095,0.0922,0.0005
