arch,optimizer,seed,C1_10,C11_20,C1_20
resnet18_cifar10,adam,20242,-0.003610073352350543,0.00473325227519087,0.000561589461420164
resnet18_cifar10,adam,21242,-0.0026087787265527415,0.005036446237117525,0.001213833755282392
resnet18_cifar10,adam,22242,-0.002203900354929447,0.004666279093173008,0.0012311893691217802
resnet18_cifar10,adamw,20342,-0.0033676290797230064,0.004157018344474147,0.0003946946323755707
resnet18_cifar10,adamw,21342,-0.0036627027690404592,0.004224528706418629,0.00028091296868908524
resnet18_cifar10,adamw,22342,-0.003859297986485768,0.004160584078048282,0.00015064304578125704
resnet18_cifar10,sgd,20042,0.12043247821287477,0.10479591667809152,0.11261419744548315
resnet18_cifar10,sgd,21042,0.11684049612680314,0.10139794028402864,0.10911921820541588
resnet18_cifar10,sgd,22042,0.1170229274207445,0.10062573787806442,0.10882433264940446
resnet18_cifar10,sgd_momentum,20142,0.0066471001650185695,0.011214716002064671,0.00893090808354162
resnet18_cifar10,sgd_momentum,21142,0.0070650930058163905,0.010694542288090494,0.008879817646953442
resnet18_cifar10,sgd_momentum,22142,0.007239313853102147,0.011648615777309303,0.009443964815205725
