arch,optimizer,block_size,n_seeds,seeds_fired,p_min,p_median,zrob_median
mlp2_mnist,adam,1,3,0,1.0,1.0,0.0
mlp2_mnist,adam,5,3,0,1.0,1.0,0.0
mlp2_mnist,adam,10,3,0,1.0,1.0,0.0
mlp2_mnist,adam,20,3,0,1.0,1.0,0.0
mlp2_mnist,adamw,1,3,1,0.01990049751243781,1.0,0.0
mlp2_mnist,adamw,5,3,1,0.04975124378109453,1.0,0.0
mlp2_mnist,adamw,10,3,1,0.04477611940298507,1.0,0.0
mlp2_mnist,adamw,20,3,1,0.01990049751243781,1.0,0.0
mlp2_mnist,sgd,1,3,0,1.0,1.0,0.0
mlp2_mnist,sgd,5,3,0,1.0,1.0,0.0
mlp2_mnist,sgd,10,3,0,1.0,1.0,0.0
mlp2_mnist,sgd,20,3,0,1.0,1.0,0.0
mlp2_mnist,sgd_momentum,1,3,0,1.0,1.0,0.0
mlp2_mnist,sgd_momentum,5,3,0,1.0,1.0,0.0
mlp2_mnist,sgd_momentum,10,3,0,1.0,1.0,0.0
mlp2_mnist,sgd_momentum,20,3,0,1.0,1.0,0.0
resnet18_cifar10,adam,1,3,0,1.0,1.0,0.0
resnet18_cifar10,adam,5,3,0,1.0,1.0,0.0
resnet18_cifar10,adam,10,3,0,1.0,1.0,0.0
resnet18_cifar10,adam,20,3,0,1.0,1.0,0.0
resnet18_cifar10,adamw,1,3,0,1.0,1.0,0.0
resnet18_cifar10,adamw,5,3,0,1.0,1.0,0.0
resnet18_cifar10,adamw,10,3,0,1.0,1.0,0.0
resnet18_cifar10,adamw,20,3,0,1.0,1.0,0.0
resnet18_cifar10,sgd,1,3,0,1.0,1.0,0.0
resnet18_cifar10,sgd,5,3,0,1.0,1.0,0.0
resnet18_cifar10,sgd,10,3,0,1.0,1.0,0.0
resnet18_cifar10,sgd,20,3,0,1.0,1.0,0.0
resnet18_cifar10,sgd_momentum,1,3,0,1.0,1.0,0.0
resnet18_cifar10,sgd_momentum,5,3,0,1.0,1.0,0.0
resnet18_cifar10,sgd_momentum,10,3,0,1.0,1.0,0.0
resnet18_cifar10,sgd_momentum,20,3,0,1.0,1.0,0.0
smallcnn_cifar10,adam,1,3,0,1.0,1.0,0.0
smallcnn_cifar10,adam,5,3,0,1.0,1.0,0.0
smallcnn_cifar10,adam,10,3,0,1.0,1.0,0.0
smallcnn_cifar10,adam,20,3,0,1.0,1.0,0.0
smallcnn_cifar10,adamw,1,3,0,1.0,1.0,0.0
smallcnn_cifar10,adamw,5,3,0,1.0,1.0,0.0
smallcnn_cifar10,adamw,10,3,0,1.0,1.0,0.0
smallcnn_cifar10,adamw,20,3,0,1.0,1.0,0.0
smallcnn_cifar10,sgd,1,3,0,1.0,1.0,0.0
smallcnn_cifar10,sgd,5,3,0,1.0,1.0,0.0
smallcnn_cifar10,sgd,10,3,0,1.0,1.0,0.0
smallcnn_cifar10,sgd,20,3,0,1.0,1.0,0.0
smallcnn_cifar10,sgd_momentum,1,3,0,1.0,1.0,0.0
smallcnn_cifar10,sgd_momentum,5,3,0,1.0,1.0,0.0
smallcnn_cifar10,sgd_momentum,10,3,0,1.0,1.0,0.0
smallcnn_cifar10,sgd_momentum,20,3,0,1.0,1.0,0.0
