experiment,calib_id,block_size,n_steps,n_checkpoints,d,n_pool_steps,n_source_files,n_nulls,geodesic_k,geodesic_max_k,geodesic_pct,alpha,sample_with_replacement,seed,runtime_sec,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
block_type1_calibration_mlp2_empirical_random_walk,0,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.154,0.0,0.0,6.4373016357421875e-06,0.0,1.0,0.0,0.0,-6.4373016357421875e-06,0.975,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,0,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.934,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,0,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.949,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,0,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.201,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,1,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.989,0.0,0.0,0.01840263605117798,0.0,1.0,0.0,0.0,-0.01840263605117798,0.98,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,1,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.0,0.0,0.0,0.042595505714416504,0.0,1.0,0.0,0.0,-0.042595505714416504,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,1,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.237,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,1,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.913,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,2,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.09,1.3262033462524414e-06,0.0,0.04299342632293701,1326203.3462524414,0.01990049751243781,98.5,1.3262033462524414,-0.04299210011959076,0.985,True,True,False,False,True,True
block_type1_calibration_mlp2_empirical_random_walk,2,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.821,1.3262033462524414e-06,0.0,1.6279518604278564e-06,1326203.3462524414,0.014925373134328358,99.0,1.3262033462524414,-3.0174851417541504e-07,0.985,True,True,False,False,True,True
block_type1_calibration_mlp2_empirical_random_walk,2,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.745,1.3262033462524414e-06,0.0,0.019532442092895508,1326203.3462524414,0.029850746268656716,97.5,1.3262033462524414,-0.019531115889549255,0.945,True,True,False,False,True,True
block_type1_calibration_mlp2_empirical_random_walk,2,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.898,1.3262033462524414e-06,1.3671815395355225e-06,2.3245811462402344e-06,0.9700265384481848,0.6218905472636815,38.0,-0.040978193283081055,-9.98377799987793e-07,0.0,False,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,3,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.579,0.0,0.0,8.07642936706543e-05,0.0,1.0,0.0,0.0,-8.07642936706543e-05,0.975,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,3,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.769,0.0,0.0,1.7508864402770996e-06,0.0,1.0,0.0,0.0,-1.7508864402770996e-06,0.99,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,3,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.557,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,3,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.516,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,4,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.143,0.0,0.0,0.04401344060897827,0.0,1.0,0.0,0.0,-0.04401344060897827,0.94,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,4,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.114,0.0,0.0,8.702278137207031e-06,0.0,1.0,0.0,0.0,-8.702278137207031e-06,0.995,True,True,False,False,False,False
