arch,optimizer,seed,rep,is_stub,analysis_role,is_formal_inference,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,geo_k_used_obs,geo_null_k_min,geo_null_k_median,geo_null_k_max,geo_null_k_near_complete_frac,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_acc,kinematic_R,path_length,net_displacement,pca_d95,pca_d99,d_full
mlp2_mnist,adam,1242,1,False,formal_matched_step,True,full,203530,1.0,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,48,24.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,1.8326933286516578e-06,98.18000030517578,2.1174750143598615,62.28361511230469,29.41409683227539,,,203530
mlp2_mnist,adam,1242,1,False,projection_diagnostic,False,pca,2,0.9502456784248352,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,48,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,3.4666572901187465e-05,98.19000244140625,1.1753953155057804,30.1921443939209,25.686800003051758,2.0,4.0,203530
mlp2_mnist,adam,1242,1,False,projection_diagnostic,False,pca,2,0.9502456784248352,150,150,0.0,0.0,1.2934207916259766e-05,0.0,1.0,0.0,0.0,-1.2934207916259766e-05,0.99,True,True,False,False,False,False,48,12.0,48.0,48.0,0.0,0.0,0.0,0.000110626220703125,0.0,1.0,0.0,0.0,-0.000110626220703125,0.99,True,True,False,False,False,False,pca_diagnostic_non_trigger,4.558452019409742e-06,98.19000244140625,1.171749568207137,32.688663482666016,27.89731216430664,2.0,4.0,203530
mlp2_mnist,adam,1242,1,False,projection_diagnostic,False,pca,2,0.9502456784248352,200,200,0.0,0.0,0.005959153175354004,0.0,1.0,0.0,0.0,-0.005959153175354004,0.93,True,True,False,False,False,False,48,12.0,48.0,96.0,0.0,0.0,0.0,0.0014595985412597656,0.0,1.0,0.0,0.0,-0.0014595985412597656,0.97,True,True,False,False,False,False,pca_diagnostic_non_trigger,1.8326933286516578e-06,98.18000030517578,1.1686157356901035,33.62015914916992,28.769216537475586,2.0,4.0,203530
mlp2_mnist,adam,1242,1,False,projection_diagnostic,False,pca,3,0.9836865067481995,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,48,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,3.4666572901187465e-05,98.19000244140625,1.2177614604806113,32.027130126953125,26.300003051757812,2.0,4.0,203530
mlp2_mnist,adam,1242,1,False,projection_diagnostic,False,pca,3,0.9836865067481995,150,150,0.0,0.0,0.005629181861877441,0.0,1.0,0.0,0.0,-0.005629181861877441,0.96,True,True,False,False,False,False,48,12.0,48.0,48.0,0.0,0.0,0.0,0.0031185150146484375,0.0,1.0,0.0,0.0,-0.0031185150146484375,0.99,True,True,False,False,False,False,pca_diagnostic_non_trigger,4.558452019409742e-06,98.19000244140625,1.230748648518757,34.777381896972656,28.257095336914062,2.0,4.0,203530
mlp2_mnist,adam,1242,1,False,projection_diagnostic,False,pca,3,0.9836865067481995,200,200,0.0,0.0,0.00955355167388916,0.0,1.0,0.0,0.0,-0.00955355167388916,0.97,True,True,False,False,False,False,48,12.0,48.0,96.0,0.0,0.0,0.0,0.0012955665588378906,0.0,1.0,0.0,0.0,-0.0012955665588378906,0.99,True,True,False,False,False,False,pca_diagnostic_non_trigger,1.8326933286516578e-06,98.18000030517578,1.2303661987726229,35.76575469970703,29.069194793701172,2.0,4.0,203530
mlp2_mnist,adam,1242,1,False,projection_diagnostic,False,pca,4,0.9908000230789185,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,48,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,3.4666572901187465e-05,98.19000244140625,1.2889500187133336,34.25621032714844,26.576833724975586,2.0,4.0,203530
mlp2_mnist,adam,1242,1,False,projection_diagnostic,False,pca,4,0.9908000230789185,150,150,0.0,0.0,0.00540614128112793,0.0,1.0,0.0,0.0,-0.00540614128112793,0.97,True,True,False,False,False,False,48,12.0,48.0,48.0,0.0,0.0,0.0,0.001953125,0.0,1.0,0.0,0.0,-0.001953125,0.99,True,True,False,False,False,False,pca_diagnostic_non_trigger,4.558452019409742e-06,98.19000244140625,1.2972291794000739,37.0085563659668,28.528926849365234,2.0,4.0,203530
mlp2_mnist,adam,1242,1,False,projection_diagnostic,False,pca,4,0.9908000230789185,200,200,0.0,0.0,0.00609356164932251,0.0,1.0,0.0,0.0,-0.00609356164932251,0.93,True,True,False,False,False,False,48,12.0,48.0,96.0,0.0,0.0,0.0,0.0016608238220214844,0.0,1.0,0.0,0.0,-0.0016608238220214844,0.97,True,True,False,False,False,False,pca_diagnostic_non_trigger,1.8326933286516578e-06,98.18000030517578,1.2952173037589683,37.997310638427734,29.33662986755371,2.0,4.0,203530
