arch,optimizer,seed,rep,is_stub,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_acc,kinematic_R,path_length,net_displacement,pca_d95,pca_d99,d_full
mlp2_mnist,sgd,1042,1,False,full,203530,1.0,200,200,0.006156818941235542,0.023739180527627468,0.06815169751644135,0.2593526315624473,0.9900497512437811,1.0,-1.6933133011575061,-0.0619948785752058,0.0,False,False,False,False,False,False,0.011084852740168571,0.05482657626271248,0.1825414001941681,0.2021802836429382,1.0,0.0,-2.5080422913002733,-0.17145654745399952,0.0,False,False,False,False,False,False,matched_step_non_detection,0.09217649698257446,96.87999725341797,1.257476539702929,6.62382173538208,5.267550945281982,,,203530
mlp2_mnist,sgd,1042,1,False,pca,2,0.991814136505127,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.10809976607561111,96.58999633789062,1.120497714294769,5.32750940322876,4.754591941833496,2.0,2.0,203530
mlp2_mnist,sgd,1042,1,False,pca,2,0.991814136505127,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.09502065181732178,96.86000061035156,1.133898097202084,5.814583778381348,5.127959728240967,2.0,2.0,203530
mlp2_mnist,sgd,1042,1,False,pca,2,0.991814136505127,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.09217649698257446,96.87999725341797,1.1355959737192505,5.88662576675415,5.183732509613037,2.0,2.0,203530
mlp2_mnist,sgd,1042,1,False,pca,3,0.9984056949615479,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.10809976607561111,96.58999633789062,1.1885491600483635,5.725628852844238,4.817326068878174,2.0,2.0,203530
mlp2_mnist,sgd,1042,1,False,pca,3,0.9984056949615479,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.09502065181732178,96.86000061035156,1.1962590903940238,6.221960544586182,5.201181411743164,2.0,2.0,203530
mlp2_mnist,sgd,1042,1,False,pca,3,0.9984056949615479,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.09217649698257446,96.87999725341797,1.1971779252468082,6.295949935913086,5.258992671966553,2.0,2.0,203530
mlp2_mnist,sgd,1042,1,False,pca,10,0.9999645352363586,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.10809976607561111,96.58999633789062,1.2159082966173078,5.872748851776123,4.829927444458008,2.0,2.0,203530
mlp2_mnist,sgd,1042,1,False,pca,10,0.9999645352363586,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.09502065181732178,96.86000061035156,1.223430955220512,6.3742194175720215,5.210117816925049,2.0,2.0,203530
mlp2_mnist,sgd,1042,1,False,pca,10,0.9999645352363586,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.09217649698257446,96.87999725341797,1.224434538323264,6.449618339538574,5.267426013946533,2.0,2.0,203530
