arch,optimizer,seed,rep,is_stub,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_acc,kinematic_R,path_length,net_displacement,pca_d95,pca_d99,d_full
resnet18_cifar10,adam,22242,2,False,full,11173962,1.0,200,200,1.5893761883489788e-05,0.0,0.025274235755205154,15893761.883489788,0.2885572139303483,71.5,15.893761883489788,-0.025258341993321665,0.705,True,True,False,False,False,False,0.003097221255302429,0.06232309341430664,8.150075912475586,0.04969620546052272,0.5671641791044776,43.5,-0.6409711281118845,-8.146978691220284,0.41,False,False,False,False,False,False,matched_step_non_detection,6.573415885213763e-05,93.38999938964844,8.685637741413768,1767.504481456615,203.49737510108463,,,11173962
resnet18_cifar10,adam,22242,2,False,pca,3,0.9101311579324491,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.008599520660936832,92.37000274658203,1.259202229310916,235.6990203857422,187.1812286376953,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,3,0.9101311579324491,150,150,0.0,0.0,0.0006865151226520538,0.0,1.0,0.0,0.0,-0.0006865151226520538,0.735,True,True,False,False,False,False,0.0,0.0,0.042989492416381836,0.0,1.0,0.0,0.0,-0.042989492416381836,0.735,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.0007481779903173447,93.08999633789062,1.3326597135664882,266.25213623046875,199.7900390625,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,3,0.9101311579324491,200,200,0.0,0.0,0.0005895160138607025,0.0,1.0,0.0,0.0,-0.0005895160138607025,0.76,True,True,False,False,False,False,0.0,0.0,0.036905527114868164,0.0,1.0,0.0,0.0,-0.036905527114868164,0.76,True,True,False,False,False,False,pca_diagnostic_non_trigger,6.573415885213763e-05,93.38999938964844,1.3329705707176318,266.810791015625,200.1625518798828,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,7,0.9553800672040176,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.008599520660936832,92.37000274658203,1.6894662437854358,323.2064208984375,191.30682373046875,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,7,0.9553800672040176,150,150,0.0,0.0,0.0017353612929582596,0.0,1.0,0.0,0.0,-0.0017353612929582596,0.795,True,True,False,False,False,False,0.0,0.0,0.11768364906311035,0.0,1.0,0.0,0.0,-0.11768364906311035,0.795,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.0007481779903173447,93.08999633789062,1.8376033248152046,370.79437255859375,201.78150939941406,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,7,0.9553800672040176,200,200,0.0,0.0,0.001957133412361145,0.0,1.0,0.0,0.0,-0.001957133412361145,0.645,False,True,False,False,False,False,0.0,0.0,0.13323473930358887,0.0,1.0,0.0,0.0,-0.13323473930358887,0.645,False,True,False,False,False,False,pca_diagnostic_non_trigger,6.573415885213763e-05,93.38999938964844,1.8418556023141743,372.36004638671875,202.16571044921875,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,10,0.9672992468658909,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.008599520660936832,92.37000274658203,1.9715328011501962,378.30364990234375,191.8830108642578,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,10,0.9672992468658909,150,150,0.0,0.0,0.0015231110155582428,0.0,1.0,0.0,0.0,-0.0015231110155582428,0.835,True,True,False,False,False,False,0.0,0.0,0.1118931770324707,0.0,1.0,0.0,0.0,-0.1118931770324707,0.835,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.0007481779903173447,93.08999633789062,2.155922804074878,436.0296630859375,202.24734497070312,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,10,0.9672992468658909,200,200,0.0,0.0,0.0010381042957305908,0.0,1.0,0.0,0.0,-0.0010381042957305908,0.73,True,True,False,False,False,False,0.0,0.0,0.082855224609375,0.0,1.0,0.0,0.0,-0.082855224609375,0.73,True,True,False,False,False,False,pca_diagnostic_non_trigger,6.573415885213763e-05,93.38999938964844,2.1632598374030767,438.2813415527344,202.60226440429688,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,36,0.9901921821461286,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.008599520660936832,92.37000274658203,3.7362124257133513,720.9559936523438,192.9644012451172,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,36,0.9901921821461286,150,150,0.0,0.0,0.0009362939745187759,0.0,1.0,0.0,0.0,-0.0009362939745187759,0.975,True,True,False,False,False,False,0.0,0.0,0.11271750926971436,0.0,1.0,0.0,0.0,-0.11271750926971436,0.975,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.0007481779903173447,93.08999633789062,4.110763873702576,834.681396484375,203.04776000976562,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,36,0.9901921821461286,200,200,0.0,0.0,0.000409640371799469,0.0,1.0,0.0,0.0,-0.000409640371799469,0.87,True,True,False,False,False,False,0.0,0.0,0.05310702323913574,0.0,1.0,0.0,0.0,-0.05310702323913574,0.87,True,True,False,False,False,False,pca_diagnostic_non_trigger,6.573415885213763e-05,93.38999938964844,4.14068351064169,842.1528930664062,203.38499450683594,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,50,0.9932475859707149,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.008599520660936832,92.37000274658203,4.468216813358095,862.6436767578125,193.0621795654297,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,50,0.9932475859707149,150,150,0.0,0.0,0.0002047475427389145,0.0,1.0,0.0,0.0,-0.0002047475427389145,0.99,True,True,False,False,False,False,0.0,0.0,0.02823460102081299,0.0,1.0,0.0,0.0,-0.02823460102081299,0.99,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.0007481779903173447,93.08999633789062,4.919459345551636,999.1829833984375,203.10829162597656,7.0,36.0,11173962
resnet18_cifar10,adam,22242,2,False,pca,50,0.9932475859707149,200,200,0.0,0.0,0.0004674214869737625,0.0,1.0,0.0,0.0,-0.0004674214869737625,0.88,True,True,False,False,False,False,0.0,0.0,0.07400918006896973,0.0,1.0,0.0,0.0,-0.07400918006896973,0.88,True,True,False,False,False,False,pca_diagnostic_non_trigger,6.573415885213763e-05,93.38999938964844,4.953629735724386,1007.7628173828125,203.43927001953125,7.0,36.0,11173962
