arch,optimizer,seed,rep,is_stub,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_acc,kinematic_R,path_length,net_displacement,pca_d95,pca_d99,d_full
resnet18_cifar10,adamw,22342,2,False,full,11173962,1.0,200,200,0.0,0.0,0.02462489902973175,0.0,1.0,0.0,0.0,-0.02462489902973175,0.665,False,True,False,False,False,False,0.0,0.0396575927734375,6.321305274963379,0.0,1.0,0.0,-0.6744907594765952,-6.321305274963379,0.4,False,False,False,False,False,False,matched_step_non_detection,0.00012242968659847975,93.73999786376953,9.162351620779319,1778.2027540188494,194.07711334566764,,,11173962
resnet18_cifar10,adamw,22342,2,False,pca,3,0.902091856088095,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.010280010290443897,92.3499984741211,1.284757690336863,231.7651824951172,180.39602661132812,7.0,39.0,11173962
resnet18_cifar10,adamw,22342,2,False,pca,3,0.902091856088095,150,150,0.0,0.0,0.0014522597193717957,0.0,1.0,0.0,0.0,-0.0014522597193717957,0.585,False,True,False,False,False,False,0.0,0.0,0.08573436737060547,0.0,1.0,0.0,0.0,-0.08573436737060547,0.585,False,True,False,False,False,False,pca_diagnostic_non_trigger,0.0007163825212046504,93.3499984741211,1.3726270663073141,261.75115966796875,190.69357299804688,7.0,39.0,11173962
resnet18_cifar10,adamw,22342,2,False,pca,3,0.902091856088095,200,200,0.0,0.0,0.0013982169330120087,0.0,1.0,0.0,0.0,-0.0013982169330120087,0.61,False,True,False,False,False,False,0.0,0.0,0.07998991012573242,0.0,1.0,0.0,0.0,-0.07998991012573242,0.61,False,True,False,False,False,False,pca_diagnostic_non_trigger,0.00012242968659847975,93.73999786376953,1.376517384957994,262.35174560546875,190.5909423828125,7.0,39.0,11173962
resnet18_cifar10,adamw,22342,2,False,pca,7,0.9514784003969068,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.010280010290443897,92.3499984741211,1.740875961839901,321.64776611328125,184.76202392578125,7.0,39.0,11173962
resnet18_cifar10,adamw,22342,2,False,pca,7,0.9514784003969068,150,150,0.0,0.0,0.0016606096178293228,0.0,1.0,0.0,0.0,-0.0016606096178293228,0.695,False,True,False,False,False,False,0.0,0.0,0.11078786849975586,0.0,1.0,0.0,0.0,-0.11078786849975586,0.695,False,True,False,False,False,False,pca_diagnostic_non_trigger,0.0007163825212046504,93.3499984741211,1.9146126204587988,369.1220397949219,192.79202270507812,7.0,39.0,11173962
resnet18_cifar10,adamw,22342,2,False,pca,7,0.9514784003969068,200,200,0.0,0.0,0.0014164671301841736,0.0,1.0,0.0,0.0,-0.0014164671301841736,0.53,False,True,False,False,False,False,0.0,0.0,0.09595608711242676,0.0,1.0,0.0,0.0,-0.09595608711242676,0.53,False,True,False,False,False,False,pca_diagnostic_non_trigger,0.00012242968659847975,93.73999786376953,1.9240018294685703,370.7556457519531,192.70025634765625,7.0,39.0,11173962
resnet18_cifar10,adamw,22342,2,False,pca,10,0.9643979685250562,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.010280010290443897,92.3499984741211,2.0420536985097852,378.4928894042969,185.34913635253906,7.0,39.0,11173962
resnet18_cifar10,adamw,22342,2,False,pca,10,0.9643979685250562,150,150,0.0,0.0,0.0018730126321315765,0.0,1.0,0.0,0.0,-0.0018730126321315765,0.73,True,True,False,False,False,False,0.0,0.0,0.13498377799987793,0.0,1.0,0.0,0.0,-0.13498377799987793,0.73,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.0007163825212046504,93.3499984741211,2.254408428525517,435.7482604980469,193.2871856689453,7.0,39.0,11173962
resnet18_cifar10,adamw,22342,2,False,pca,10,0.9643979685250562,200,200,0.0,0.0,0.0019511058926582336,0.0,1.0,0.0,0.0,-0.0019511058926582336,0.575,False,True,False,False,False,False,0.0,0.0,0.1513664722442627,0.0,1.0,0.0,0.0,-0.1513664722442627,0.575,False,True,False,False,False,False,pca_diagnostic_non_trigger,0.00012242968659847975,93.73999786376953,2.2676769659612894,438.02978515625,193.16233825683594,7.0,39.0,11173962
resnet18_cifar10,adamw,22342,2,False,pca,39,0.9902293520968534,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.010280010290443897,92.3499984741211,4.061327388378705,757.4862670898438,186.51199340820312,7.0,39.0,11173962
resnet18_cifar10,adamw,22342,2,False,pca,39,0.9902293520968534,150,150,0.0,0.0,0.0009972983971238136,0.0,1.0,0.0,0.0,-0.0009972983971238136,0.94,True,True,False,False,False,False,0.0,0.0,0.11954736709594727,0.0,1.0,0.0,0.0,-0.11954736709594727,0.94,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.0007163825212046504,93.3499984741211,4.520544975372064,877.5061645507812,194.11512756347656,7.0,39.0,11173962
