arch,optimizer,seed,rep,is_stub,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_acc,kinematic_R,path_length,net_displacement,pca_d95,pca_d99,d_full
resnet18_cifar10,sgd,20042,0,False,full,11173962,1.0,200,200,0.0007849391549825668,0.00013398192822933197,0.03271855413913727,5.858544950782244,0.1044776119402985,90.0,3.2770437032973336,-0.0319336149841547,0.235,False,False,False,False,False,False,0.0023946240544319153,0.0006193071603775024,0.12124167382717133,3.866617736351764,0.1791044776119403,82.5,1.9335071783321338,-0.11884704977273941,0.205,False,False,False,False,False,False,matched_step_non_detection,0.3479028046131134,82.16000366210938,3.133113949986415,22.98945539791756,7.337573980677351,,,11173962
resnet18_cifar10,sgd,20042,0,False,pca,2,0.963149673311816,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.4531979262828827,79.66000366210938,1.1798273766575484,7.627902030944824,6.465269565582275,2.0,4.0,11173962
resnet18_cifar10,sgd,20042,0,False,pca,2,0.963149673311816,150,150,0.0,0.0,0.00016658008098602295,0.0,1.0,0.0,0.0,-0.00016658008098602295,0.885,True,True,False,False,False,False,0.0,0.0,0.0003574490547180176,0.0,1.0,0.0,0.0,-0.0003574490547180176,0.885,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.3633425533771515,81.73999786376953,1.2188288949490766,8.612407684326172,7.066133499145508,2.0,4.0,11173962
resnet18_cifar10,sgd,20042,0,False,pca,2,0.963149673311816,200,200,0.0,0.0,0.00013164430856704712,0.0,1.0,0.0,0.0,-0.00013164430856704712,0.665,False,True,False,False,False,False,0.0,0.0,0.0002713426947593689,0.0,1.0,0.0,0.0,-0.0002713426947593689,0.665,False,True,False,False,False,False,pca_diagnostic_non_trigger,0.3479028046131134,82.16000366210938,1.222986612712514,8.748862266540527,7.153686046600342,2.0,4.0,11173962
resnet18_cifar10,sgd,20042,0,False,pca,3,0.9836578987233225,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.4531979262828827,79.66000366210938,1.3045020236402125,8.506857872009277,6.521153450012207,2.0,4.0,11173962
resnet18_cifar10,sgd,20042,0,False,pca,3,0.9836578987233225,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.3633425533771515,81.73999786376953,1.3334983330004762,9.567487716674805,7.174727916717529,2.0,4.0,11173962
resnet18_cifar10,sgd,20042,0,False,pca,3,0.9836578987233225,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.3479028046131134,82.16000366210938,1.3363453815261044,9.718070983886719,7.272125244140625,2.0,4.0,11173962
resnet18_cifar10,sgd,20042,0,False,pca,4,0.9900145715914067,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.4531979262828827,79.66000366210938,1.3716519772799645,9.027206420898438,6.581265926361084,2.0,4.0,11173962
resnet18_cifar10,sgd,20042,0,False,pca,4,0.9900145715914067,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.3633425533771515,81.73999786376953,1.4047511188053772,10.118311882019043,7.202921390533447,2.0,4.0,11173962
resnet18_cifar10,sgd,20042,0,False,pca,4,0.9900145715914067,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.3479028046131134,82.16000366210938,1.4080778385155077,10.274153709411621,7.296580791473389,2.0,4.0,11173962
