arch,optimizer,seed,rep,is_stub,analysis_role,is_formal_inference,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,geo_k_used_obs,geo_null_k_min,geo_null_k_median,geo_null_k_max,geo_null_k_near_complete_frac,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_acc,kinematic_R,path_length,net_displacement,pca_d95,pca_d99,d_full
resnet18_cifar10,sgd,22042,2,False,formal_matched_step,True,full,11173962,1.0,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,0.34835439920425415,81.86000061035156,3.196324428124876,23.449698358749004,7.336457511137494,,,11173962
resnet18_cifar10,sgd,22042,2,False,projection_diagnostic,False,pca,2,0.9621696052578951,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.45700332522392273,78.70999908447266,1.1844571686699992,7.666859149932861,6.472888469696045,2.0,5.0,11173962
resnet18_cifar10,sgd,22042,2,False,projection_diagnostic,False,pca,2,0.9621696052578951,150,150,0.0,0.0,0.0002687796950340271,0.0,1.0,0.0,0.0,-0.0002687796950340271,0.77,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0005806908011436462,0.0,1.0,0.0,0.0,-0.0005806908011436462,0.77,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.36501258611679077,81.47000122070312,1.2241985848922874,8.647819519042969,7.064065933227539,2.0,5.0,11173962
resnet18_cifar10,sgd,22042,2,False,projection_diagnostic,False,pca,2,0.9621696052578951,200,200,0.0,0.0,0.0002543628215789795,0.0,1.0,0.0,0.0,-0.0002543628215789795,0.545,False,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0005430355668067932,0.0,1.0,0.0,0.0,-0.0005430355668067932,0.545,False,True,False,False,False,False,pca_diagnostic_non_trigger,0.34835439920425415,81.86000061035156,1.2284970743622412,8.78307819366455,7.149449825286865,2.0,5.0,11173962
resnet18_cifar10,sgd,22042,2,False,projection_diagnostic,False,pca,3,0.9831225689261246,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.45700332522392273,78.70999908447266,1.3124459483520026,8.569345474243164,6.529294013977051,2.0,5.0,11173962
resnet18_cifar10,sgd,22042,2,False,projection_diagnostic,False,pca,3,0.9831225689261246,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.36501258611679077,81.47000122070312,1.3421291090711371,9.62919807434082,7.174569129943848,2.0,5.0,11173962
resnet18_cifar10,sgd,22042,2,False,projection_diagnostic,False,pca,3,0.9831225689261246,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.34835439920425415,81.86000061035156,1.3450781665020646,9.778434753417969,7.269789218902588,2.0,5.0,11173962
resnet18_cifar10,sgd,22042,2,False,projection_diagnostic,False,pca,5,0.9926581401950048,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.45700332522392273,78.70999908447266,1.4368926579967294,9.480565071105957,6.597963333129883,2.0,5.0,11173962
resnet18_cifar10,sgd,22042,2,False,projection_diagnostic,False,pca,5,0.9926581401950048,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.36501258611679077,81.47000122070312,1.4662397672302825,10.58820915222168,7.221335411071777,2.0,5.0,11173962
resnet18_cifar10,sgd,22042,2,False,projection_diagnostic,False,pca,5,0.9926581401950048,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.34835439920425415,81.86000061035156,1.4690807649820545,10.746129035949707,7.314866065979004,2.0,5.0,11173962
