arch,optimizer,seed,rep,is_stub,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_acc,kinematic_R,path_length,net_displacement,pca_d95,pca_d99,d_full
resnet18_cifar10,sgd_momentum,20142,0,False,full,11173962,1.0,200,200,0.0009331032633781433,7.553724572062492e-06,0.03238985687494278,123.52888048107444,0.22885572139303484,77.5,82.64460868369629,-0.031456753611564636,0.315,False,False,False,False,False,False,0.013636963441967964,0.001856064423918724,0.8501856327056885,7.347246819067242,0.36318407960199006,64.0,4.281159330248045,-0.8365486692637205,0.14,False,False,False,False,False,False,matched_step_non_detection,0.001961061265319586,89.83000183105469,5.774062121937031,113.71248040564964,19.69367111130117,,,11173962
resnet18_cifar10,sgd_momentum,20142,0,False,pca,3,0.9470315019910879,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.011562217958271503,89.12000274658203,1.3422285059912098,25.572946548461914,19.052602767944336,4.0,19.0,11173962
resnet18_cifar10,sgd_momentum,20142,0,False,pca,3,0.9470315019910879,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.002425887156277895,89.70999908447266,1.3474142177273323,26.10875129699707,19.376930236816406,4.0,19.0,11173962
resnet18_cifar10,sgd_momentum,20142,0,False,pca,3,0.9470315019910879,200,200,0.0,0.0,0.0322386771440506,0.0,1.0,0.0,0.0,-0.0322386771440506,0.86,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.001961061265319586,89.83000183105469,1.3474579770994244,26.13776206970215,19.397830963134766,4.0,19.0,11173962
resnet18_cifar10,sgd_momentum,20142,0,False,pca,4,0.9592208191005734,100,100,0.0,0.0,9.082257747650146e-05,0.0,1.0,0.0,0.0,-9.082257747650146e-05,0.985,True,True,False,False,False,False,0.0,0.0,0.0005723237991333008,0.0,1.0,0.0,0.0,-0.0005723237991333008,0.985,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.011562217958271503,89.12000274658203,1.4401187495956242,27.595399856567383,19.16189193725586,4.0,19.0,11173962
resnet18_cifar10,sgd_momentum,20142,0,False,pca,4,0.9592208191005734,150,150,0.0,0.0,0.00038677453994750977,0.0,1.0,0.0,0.0,-0.00038677453994750977,0.93,True,True,False,False,False,False,0.0,0.0,0.0009613037109375,0.0,1.0,0.0,0.0,-0.0009613037109375,0.935,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.002425887156277895,89.70999908447266,1.4497993156871782,28.207435607910156,19.456096649169922,4.0,19.0,11173962
resnet18_cifar10,sgd_momentum,20142,0,False,pca,4,0.9592208191005734,200,200,0.0,0.0,0.051393523812294006,0.0,1.0,0.0,0.0,-0.051393523812294006,0.865,True,True,False,False,False,False,0.0,0.0,0.2569928765296936,0.0,1.0,0.0,0.0,-0.2569928765296936,0.885,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.001961061265319586,89.83000183105469,1.4498006909224666,28.236989974975586,19.476463317871094,4.0,19.0,11173962
resnet18_cifar10,sgd_momentum,20142,0,False,pca,10,0.9822186231716513,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.011562217958271503,89.12000274658203,1.88735597574025,36.4879150390625,19.332820892333984,4.0,19.0,11173962
resnet18_cifar10,sgd_momentum,20142,0,False,pca,10,0.9822186231716513,150,150,0.0,0.0,0.00029885023832321167,0.0,1.0,0.0,0.0,-0.00029885023832321167,0.855,True,True,False,False,False,False,0.0,0.0,0.002249494194984436,0.0,1.0,0.0,0.0,-0.002249494194984436,0.855,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.002425887156277895,89.70999908447266,1.913879088149128,37.564151763916016,19.627233505249023,4.0,19.0,11173962
resnet18_cifar10,sgd_momentum,20142,0,False,pca,10,0.9822186231716513,200,200,0.0,0.0,0.04886529967188835,0.0,1.0,0.0,0.0,-0.04886529967188835,0.895,True,True,False,False,False,False,0.0,0.0,0.36053651571273804,0.0,1.0,0.0,0.0,-0.36053651571273804,0.75,True,True,False,False,False,False,pca_diagnostic_non_trigger,0.001961061265319586,89.83000183105469,1.913645220462608,37.59943771362305,19.6480712890625,4.0,19.0,11173962
