arch,optimizer,k_value,filtration_pct,n_seeds,seeds_fired,p_min,p_median,zrob_median,Lobs_median
mlp2_mnist,adam,8,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,8,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,8,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,10,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,10,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,10,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,12,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,12,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,12,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,16,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,16,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adam,16,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adamw,8,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adamw,8,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adamw,8,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adamw,10,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adamw,10,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adamw,10,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adamw,12,90.0,3,1,0.009950248756218905,1.0,0.0,0.0
mlp2_mnist,adamw,12,95.0,3,1,0.014925373134328358,1.0,0.0,0.0
mlp2_mnist,adamw,12,99.0,3,1,0.01990049751243781,1.0,0.0,0.0
mlp2_mnist,adamw,16,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adamw,16,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,adamw,16,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,8,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,8,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,8,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,10,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,10,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,10,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,12,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,12,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,12,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,16,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,16,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd,16,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,8,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,8,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,8,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,10,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,10,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,10,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,12,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,12,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,12,99.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,16,90.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,16,95.0,3,0,1.0,1.0,0.0,0.0
mlp2_mnist,sgd_momentum,16,99.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,8,90.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,8,95.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,8,99.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,10,90.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,10,95.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,10,99.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,12,90.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,12,95.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,12,99.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,16,90.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,16,95.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adam,16,99.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adamw,8,90.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adamw,8,95.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adamw,8,99.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adamw,10,90.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adamw,10,95.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adamw,10,99.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adamw,12,90.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adamw,12,95.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adamw,12,99.0,3,0,1.0,1.0,0.0,0.0
resnet18_cifar10,adamw,16,90.0,3,0,1.0,1.0,0.0,0.0
