arch,optimizer,seed,rep,k_value,filtration_pct,analysis_role,is_formal_inference,d_full,kinematic_R,n_nulls_used,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,geo_k_used_obs,geo_null_k_min,geo_null_k_median,geo_null_k_max,geo_null_k_near_complete_frac,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,elapsed_sec
mlp2_mnist,adamw,2342,2,8,90.0,metric_sensitivity,False,203530,2.333590152924058,200,0.0,0.0,0.010278582572937012,0.0,1.0,0.0,0.0,-0.010278582572937012,0.96,True,True,False,False,False,False,64,16.0,32.0,64.0,0.0,0.0,0.0,0.0009837150573730469,0.0,1.0,0.0,0.0,-0.0009837150573730469,0.98,True,True,False,False,False,False,sensitivity_non_trigger,16.028563737869263
mlp2_mnist,adamw,2342,2,8,95.0,metric_sensitivity,False,203530,2.333590152924058,200,0.0,0.0,0.006285965442657471,0.0,1.0,0.0,0.0,-0.006285965442657471,0.965,True,True,False,False,False,False,64,16.0,32.0,64.0,0.0,0.0,0.0,0.004271030426025391,0.0,1.0,0.0,0.0,-0.004271030426025391,0.975,True,True,False,False,False,False,sensitivity_non_trigger,17.142420291900635
mlp2_mnist,adamw,2342,2,8,99.0,metric_sensitivity,False,203530,2.333590152924058,200,0.0,0.0,0.005841195583343506,0.0,1.0,0.0,0.0,-0.005841195583343506,0.96,True,True,False,False,False,False,64,16.0,32.0,64.0,0.0,0.0,0.0,0.005059719085693359,0.0,1.0,0.0,0.0,-0.005059719085693359,0.97,True,True,False,False,False,False,sensitivity_non_trigger,18.279959440231323
mlp2_mnist,adamw,2342,2,10,90.0,metric_sensitivity,False,203530,2.333590152924058,200,0.0,0.0,0.004160046577453613,0.0,1.0,0.0,0.0,-0.004160046577453613,0.975,True,True,False,False,False,False,40,20.0,40.0,80.0,0.0,0.0,0.0,0.0009353160858154297,0.0,1.0,0.0,0.0,-0.0009353160858154297,0.99,True,True,False,False,False,False,sensitivity_non_trigger,15.723122358322144
mlp2_mnist,adamw,2342,2,10,95.0,metric_sensitivity,False,203530,2.333590152924058,200,0.0,0.0,0.00440022349357605,0.0,1.0,0.0,0.0,-0.00440022349357605,0.97,True,True,False,False,False,False,40,20.0,40.0,80.0,0.0,0.0,0.0,0.005454063415527344,0.0,1.0,0.0,0.0,-0.005454063415527344,0.975,True,True,False,False,False,False,sensitivity_non_trigger,16.979461193084717
mlp2_mnist,adamw,2342,2,10,99.0,metric_sensitivity,False,203530,2.333590152924058,200,0.0,0.0,0.006181001663208008,0.0,1.0,0.0,0.0,-0.006181001663208008,0.955,True,True,False,False,False,False,40,20.0,40.0,80.0,0.0,0.0,0.0,0.0010886192321777344,0.0,1.0,0.0,0.0,-0.0010886192321777344,0.975,True,True,False,False,False,False,sensitivity_non_trigger,18.122023105621338
mlp2_mnist,adamw,2342,2,12,90.0,metric_sensitivity,False,203530,2.333590152924058,200,0.0001964569091796875,0.0,0.03782546520233154,196456909.1796875,0.009950248756218905,99.5,196.4569091796875,-0.037629008293151855,0.965,True,True,False,False,True,True,48,24.0,48.0,96.0,0.0,0.0,0.0,0.0017061233520507812,0.0,1.0,0.0,0.0,-0.0017061233520507812,0.97,True,True,False,False,False,False,sensitivity_nominal_trigger,15.305192470550537
mlp2_mnist,adamw,2342,2,12,95.0,metric_sensitivity,False,203530,2.333590152924058,200,0.0001964569091796875,0.0,0.0007176995277404785,196456909.1796875,0.014925373134328358,99.0,196.4569091796875,-0.000521242618560791,0.965,True,True,False,False,True,True,48,24.0,48.0,96.0,0.0,0.0,0.0,0.009084224700927734,0.0,1.0,0.0,0.0,-0.009084224700927734,0.965,True,True,False,False,False,False,sensitivity_nominal_trigger,16.620999574661255
mlp2_mnist,adamw,2342,2,12,99.0,metric_sensitivity,False,203530,2.333590152924058,200,0.0001964569091796875,0.0,0.00646662712097168,196456909.1796875,0.01990049751243781,98.5,196.4569091796875,-0.006270170211791992,0.97,True,True,False,False,True,True,48,24.0,48.0,96.0,0.0,0.0,0.0,0.00897979736328125,0.0,1.0,0.0,0.0,-0.00897979736328125,0.985,True,True,False,False,False,False,sensitivity_nominal_trigger,17.59798765182495
mlp2_mnist,adamw,2342,2,16,90.0,metric_sensitivity,False,203530,2.333590152924058,200,0.0,0.0,0.0001169741153717041,0.0,1.0,0.0,0.0,-0.0001169741153717041,0.99,True,True,False,False,False,False,64,16.0,32.0,64.0,0.0,0.0,0.0,0.0011730194091796875,0.0,1.0,0.0,0.0,-0.0011730194091796875,0.99,True,True,False,False,False,False,sensitivity_non_trigger,15.034945487976074
