arch,optimizer,seed,rep,k_value,filtration_pct,d_full,kinematic_R,n_nulls_used,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,elapsed_sec
resnet18_cifar10,adamw,21342,1,8,90.0,11173962,9.115293932489228,50,0.0,0.0,0.020909473299980164,0.0,1.0,0.0,0.0,-0.020909473299980164,0.7,True,True,False,False,False,False,0.0092763751745224,0.00028514862060546875,6.208587646484375,32.53172020363886,0.47058823529411764,54.0,21.26785398470643,-6.199311271309853,0.5,False,False,False,False,False,False,sensitivity_non_trigger,668.6025505065918
resnet18_cifar10,adamw,21342,1,8,95.0,11173962,9.115293932489228,50,0.0,0.0,0.02096102014183998,0.0,1.0,0.0,0.0,-0.02096102014183998,0.78,True,True,False,False,False,False,0.0092763751745224,0.010305404663085938,6.360428810119629,0.9001466198460233,0.5098039215686274,50.0,-0.06735018215744615,-6.3511524349451065,0.44,False,False,False,False,False,False,sensitivity_non_trigger,666.633159160614
resnet18_cifar10,adamw,21342,1,8,99.0,11173962,9.115293932489228,50,0.0,0.0,0.02110646665096283,0.0,1.0,0.0,0.0,-0.02110646665096283,0.68,False,True,False,False,False,False,0.0092763751745224,0.07239532470703125,6.187891006469727,0.12813500335738276,0.5098039215686274,50.0,-0.5880648837453443,-6.178614631295204,0.46,False,False,False,False,False,False,sensitivity_non_trigger,667.6625854969025
resnet18_cifar10,adamw,21342,1,10,90.0,11173962,9.115293932489228,50,0.0,0.0,0.023243997246026993,0.0,1.0,0.0,0.0,-0.023243997246026993,0.66,False,True,False,False,False,False,0.0092763751745224,0.014257252216339111,6.281403541564941,0.6506425665417377,0.5098039215686274,50.0,-0.23563836059127644,-6.272127166390419,0.4,False,False,False,False,False,False,sensitivity_non_trigger,715.8052046298981
resnet18_cifar10,adamw,21342,1,10,95.0,11173962,9.115293932489228,50,0.0,0.0,0.02382856234908104,0.0,1.0,0.0,0.0,-0.02382856234908104,0.66,False,True,False,False,False,False,0.0092763751745224,0.1968851089477539,6.444782257080078,0.047115676873952385,0.6862745098039216,32.0,-0.6427116707984678,-6.435505881905556,0.3,False,False,False,False,False,False,sensitivity_non_trigger,666.4914224147797
resnet18_cifar10,adamw,21342,1,10,99.0,11173962,9.115293932489228,50,0.0,0.0,0.02301432564854622,0.0,1.0,0.0,0.0,-0.02301432564854622,0.72,True,True,False,False,False,False,0.0092763751745224,0.0017801523208618164,6.083135604858398,5.211000800662088,0.49019607843137253,52.0,2.840281130169544,-6.073859229683876,0.48,False,False,False,False,False,False,sensitivity_non_trigger,666.2057542800903
resnet18_cifar10,adamw,21342,1,12,90.0,11173962,9.115293932489228,50,0.0,0.0,0.02586466073989868,0.0,1.0,0.0,0.0,-0.02586466073989868,0.56,False,True,False,False,False,False,0.0092763751745224,0.9437704086303711,6.457583427429199,0.009829059154307174,0.6862745098039216,32.0,-0.6678611499026591,-6.448307052254677,0.3,False,False,False,False,False,False,sensitivity_non_trigger,670.4037275314331
resnet18_cifar10,adamw,21342,1,12,95.0,11173962,9.115293932489228,50,0.0,0.0,0.025457054376602173,0.0,1.0,0.0,0.0,-0.025457054376602173,0.7,True,True,False,False,False,False,0.0092763751745224,0.0703730583190918,6.269887924194336,0.13181713848968754,0.5490196078431373,46.0,-0.5855813176233908,-6.2606115490198135,0.36,False,False,False,False,False,False,sensitivity_non_trigger,676.8163702487946
resnet18_cifar10,adamw,21342,1,12,99.0,11173962,9.115293932489228,50,0.0,0.0,0.026568494737148285,0.0,1.0,0.0,0.0,-0.026568494737148285,0.66,False,True,False,False,False,False,0.0092763751745224,0.0012040138244628906,6.589715957641602,7.704542072808873,0.45098039215686275,56.0,4.522151678947742,-6.580439582467079,0.46,False,False,False,False,False,False,sensitivity_non_trigger,669.79540848732
resnet18_cifar10,adamw,21342,1,16,90.0,11173962,9.115293932489228,50,0.0,0.0,0.029686734080314636,0.0,1.0,0.0,0.0,-0.029686734080314636,0.62,False,True,False,False,False,False,0.0092763751745224,0.23778772354125977,6.4418182373046875,0.03901116103192685,0.6078431372549019,40.0,-0.6481780918439964,-6.432541862130165,0.4,False,False,False,False,False,False,sensitivity_non_trigger,664.4908974170685
resnet18_cifar10,adamw,21342,1,16,95.0,11173962,9.115293932489228,50,0.0,0.0,0.028493739664554596,0.0,1.0,0.0,0.0,-0.028493739664554596,0.66,False,True,False,False,False,False,0.0092763751745224,0.03938931226730347,6.5302534103393555,0.23550487785457194,0.5490196078431373,46.0,-0.5156448955479895,-6.520977035164833,0.38,False,False,False,False,False,False,sensitivity_non_trigger,661.5425314903259
resnet18_cifar10,adamw,21342,1,16,99.0,11173962,9.115293932489228,50,0.0,0.0,0.02911899983882904,0.0,1.0,0.0,0.0,-0.02911899983882904,0.74,True,True,False,False,False,False,0.0092763751745224,0.05209359526634216,6.364991188049316,0.17807131811341545,0.5686274509803921,44.0,-0.5543833008789736,-6.355714812874794,0.34,False,False,False,False,False,False,sensitivity_non_trigger,662.1597616672516
