experiment,stress_name,stress_label,seed,rep,status,analysis_role,is_formal_inference,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_loss,val_acc,kinematic_R,path_length,net_displacement,d_full
stress,edge_of_stability,EoS,42,0,ok,formal_matched_step,True,full,321290,1.0,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,0.6343081593513489,0.7251521348953247,75.66999816894531,3.4183177324271985,49.575706481933594,14.502954483032227,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,2,0.9584081172943115,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9670975208282471,0.9127647876739502,68.08999633789062,1.0927577217335325,10.580558776855469,9.682437896728516,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,2,0.9584081172943115,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7589690685272217,0.7655423283576965,73.73999786376953,1.2110393777350195,14.821147918701172,12.238369941711426,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,2,0.9584081172943115,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.6343081593513489,0.7251521348953247,75.66999816894531,1.2565384098702632,17.68894386291504,14.077519416809082,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,3,0.9840191602706909,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9670975208282471,0.9127647876739502,68.08999633789062,1.2361171281903536,12.062552452087402,9.758421897888184,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,3,0.9840191602706909,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7589690685272217,0.7655423283576965,73.73999786376953,1.3277360153823765,16.392234802246094,12.346004486083984,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,3,0.9840191602706909,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.6343081593513489,0.7251521348953247,75.66999816894531,1.3608905529365984,19.607872009277344,14.40811824798584,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,4,0.9917294979095459,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9670975208282471,0.9127647876739502,68.08999633789062,1.3129104920597945,12.894211769104004,9.821089744567871,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,4,0.9917294979095459,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7589690685272217,0.7655423283576965,73.73999786376953,1.3896761358575993,17.291187286376953,12.442602157592773,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,4,0.9917294979095459,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.6343081593513489,0.7251521348953247,75.66999816894531,1.4327683917737086,20.65976333618164,14.419471740722656,321290
