experiment,stress_name,stress_label,seed,rep,status,analysis_role,is_formal_inference,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_loss,val_acc,kinematic_R,path_length,net_displacement,d_full
stress,extreme_momentum,Momentum99,11042,1,ok,formal_matched_step,True,full,321290,1.0,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,0.8553664684295654,0.8865106105804443,73.87999725341797,15.931850505447693,2109.423828125,132.40293884277344,321290
stress,extreme_momentum,Momentum99,11042,1,ok,projection_diagnostic,False,pca,3,0.7462295293807983,100,100,0.0,0.0,0.004557263106107712,0.0,1.0,0.0,0.0,-0.004557263106107712,0.955,True,True,False,False,False,False,0.0,0.0,0.12981081008911133,0.0,1.0,0.0,0.0,-0.12981081008911133,0.955,True,True,False,False,False,False,pca_non_trigger,0.8309288024902344,0.9114853739738464,71.55999755859375,1.3038721364932213,121.9222412109375,93.50782012939453,321290
stress,extreme_momentum,Momentum99,11042,1,ok,projection_diagnostic,False,pca,3,0.7462295293807983,150,150,0.0,0.0,0.005221283063292503,0.0,1.0,0.0,0.0,-0.005221283063292503,0.685,False,True,False,False,False,False,0.0,0.0,0.17585086822509766,0.0,1.0,0.0,0.0,-0.17585086822509766,0.685,False,True,False,False,False,False,pca_non_trigger,0.8500177264213562,0.8583500385284424,74.08999633789062,1.6418955315786536,175.4796142578125,106.87623596191406,321290
stress,extreme_momentum,Momentum99,11042,1,ok,projection_diagnostic,False,pca,3,0.7462295293807983,200,200,0.0,0.0004202481359243393,0.004024552181363106,0.0,1.0,0.0,-0.6744907594765953,-0.004024552181363106,0.36,False,False,False,False,False,False,0.0,0.016555368900299072,0.15411055088043213,0.0,1.0,0.0,-0.6744907594765952,-0.15411055088043213,0.36,False,False,False,False,False,False,pca_non_trigger,0.8553664684295654,0.8865106105804443,73.87999725341797,1.788405185818446,216.7401580810547,121.19186401367188,321290
stress,extreme_momentum,Momentum99,11042,1,ok,projection_diagnostic,False,pca,10,0.896586000919342,100,100,0.0,0.0,0.005001656711101532,0.0,1.0,0.0,0.0,-0.005001656711101532,0.88,True,True,False,False,False,False,0.0,0.0,0.17806768417358398,0.0,1.0,0.0,0.0,-0.17806768417358398,0.88,True,True,False,False,False,False,pca_non_trigger,0.8309288024902344,0.9114853739738464,71.55999755859375,2.3144217646316014,232.8202667236328,100.5954360961914,321290
stress,extreme_momentum,Momentum99,11042,1,ok,projection_diagnostic,False,pca,10,0.896586000919342,150,150,0.0,0.0,0.0022880733013153076,0.0,1.0,0.0,0.0,-0.0022880733013153076,0.905,True,True,False,False,False,False,0.0,0.0,0.10681605339050293,0.0,1.0,0.0,0.0,-0.10681605339050293,0.905,True,True,False,False,False,False,pca_non_trigger,0.8500177264213562,0.8583500385284424,74.08999633789062,3.0067784309912997,350.0498046875,116.42021942138672,321290
stress,extreme_momentum,Momentum99,11042,1,ok,projection_diagnostic,False,pca,10,0.896586000919342,200,200,0.0,0.0,0.005515340715646744,0.0,1.0,0.0,0.0,-0.005515340715646744,0.61,False,True,False,False,False,False,0.0,0.0,0.32694244384765625,0.0,1.0,0.0,0.0,-0.32694244384765625,0.61,False,True,False,False,False,False,pca_non_trigger,0.8553664684295654,0.8865106105804443,73.87999725341797,3.6338788135779256,463.4927978515625,127.54767608642578,321290
stress,extreme_momentum,Momentum99,11042,1,ok,projection_diagnostic,False,pca,22,0.9522765278816223,100,100,0.0,0.0,0.002762138843536377,0.0,1.0,0.0,0.0,-0.002762138843536377,0.985,True,True,False,False,False,False,0.0,0.0,0.13758373260498047,0.0,1.0,0.0,0.0,-0.13758373260498047,0.985,True,True,False,False,False,False,pca_non_trigger,0.8309288024902344,0.9114853739738464,71.55999755859375,3.592712605872297,371.0798034667969,103.28680419921875,321290
stress,extreme_momentum,Momentum99,11042,1,ok,projection_diagnostic,False,pca,22,0.9522765278816223,150,150,0.0,0.0,0.0027760714292526245,0.0,1.0,0.0,0.0,-0.0027760714292526245,0.96,True,True,False,False,False,False,0.0,0.0,0.20000171661376953,0.0,1.0,0.0,0.0,-0.20000171661376953,0.96,True,True,False,False,False,False,pca_non_trigger,0.8500177264213562,0.8583500385284424,74.08999633789062,4.784495568203239,568.553955078125,118.83258056640625,321290
stress,extreme_momentum,Momentum99,11042,1,ok,projection_diagnostic,False,pca,22,0.9522765278816223,200,200,0.0,0.0,0.007152661681175232,0.0,1.0,0.0,0.0,-0.007152661681175232,0.925,True,True,False,False,False,False,0.0,0.0,0.6379499435424805,0.0,1.0,0.0,0.0,-0.6379499435424805,0.925,True,True,False,False,False,False,pca_non_trigger,0.8553664684295654,0.8865106105804443,73.87999725341797,5.893081484735339,769.69384765625,130.6097412109375,321290
