dataset,kendall_tau_formal_freq,tau_formal_freq_p,kendall_tau_TSR,tau_TSR_p,flip_rate,mean_zrob,mean_TSR,max_TSR,min_pperm,n_formal_positive,n_total,formal_fire_rate,source_csv,pperm_normalized,raw_pperm_trigger,block_size_normalized,is_block_diagnostic,block_null_diagnostic,formal_trigger_normalized,source_formal_trigger_raw,source_formal_trigger_mismatch,k,fire_rate,mean_Lobs,max_pperm,radius,k_used,seed,N,SUBSAMPLE,N_NULLS,NOISE,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger,lambda_val,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_zrob,geo_delta,geo_zero_frac,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,proj_Lobs,proj_null_med,proj_null_max,proj_TSR,proj_pperm,proj_zrob,proj_delta,proj_zero_frac,proj_fallback,proj_separation_flag,proj_formal_trigger,proj_nominal_trigger,N_SAMPLES,TOTAL_PROJECTIONS,GEODESIC_K,spearman_proj_TSR_vs_lambda,spearman_p,any_geo_formal_trigger,max_geo_TSR,experiment,RNG_SEED,D_IN,D_OUT,NUM_STEPS,NUM_CYCLES,LR,MOMENTUM,BATCH_SIZE,TARGET_RADIUS,DRIFT_SCALE,TARGET_NOISE,k_obs,null_k_min,null_k_median,null_k_max,scenario,decision,amb_euc_Lobs,amb_euc_null_med,amb_euc_null_max,amb_euc_TSR,amb_euc_pperm,amb_euc_pct,amb_euc_zrob,amb_euc_delta,amb_euc_zero_frac,amb_euc_null_collapsed,amb_euc_zrob_collapsed,amb_euc_fallback,amb_euc_separation_flag,amb_euc_formal_trigger,amb_euc_nominal_trigger,amb_geo_Lobs,amb_geo_null_med,amb_geo_null_max,amb_geo_TSR,amb_geo_pperm,amb_geo_pct,amb_geo_zrob,amb_geo_delta,amb_geo_zero_frac,amb_geo_null_collapsed,amb_geo_zrob_collapsed,amb_geo_fallback,amb_geo_separation_flag,amb_geo_formal_trigger,amb_geo_nominal_trigger,proj_pct,proj_null_collapsed,proj_zrob_collapsed,type,k_init,n_adjacent_transitions,n_flips,k_sequence,decision_sequence,expected_beta1,n_sig_bars,bar_check,expected_decision,correct,geo_pnull,geo_null_type,geo_pct,geo_null_collapsed,geo_zrob_collapsed,BAR_THRESH,elapsed_s,Scenario,Budget,method,publication_config,NOISE_LEVEL,raw_Lobs,raw_null_med,raw_null_max,raw_TSR,raw_pperm,raw_pct,raw_zrob,raw_delta,raw_zero_frac,raw_null_collapsed,raw_zrob_collapsed,raw_fallback,raw_separation_flag,raw_formal_trigger,raw_nominal_trigger,dpca_Lobs,dpca_null_med,dpca_null_max,dpca_TSR,dpca_pperm,dpca_pct,dpca_zrob,dpca_delta,dpca_zero_frac,dpca_null_collapsed,dpca_zrob_collapsed,dpca_fallback,dpca_separation_flag,dpca_formal_trigger,dpca_nominal_trigger,dtime_Lobs,dtime_null_med,dtime_null_max,dtime_TSR,dtime_pperm,dtime_pct,dtime_zrob,dtime_delta,dtime_zero_frac,dtime_null_collapsed,dtime_zrob_collapsed,dtime_fallback,dtime_separation_flag,dtime_formal_trigger,dtime_nominal_trigger,drift_scale,amp_frac,amp_abs,block_size,n_nulls,is_formal_null,support_size,geodesic_k,geodesic_pct,Lobs_geo,obs_sentinel,sentinel_nulls,median_pairwise,euc_formal_trigger,expected_euc_formal_trigger,expected_geo_formal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_nominal_trigger,pca_formal_trigger,expected_pca_formal_trigger,pca_var_pc1,pca_var_pc2,pca_Lobs,pca_null_med,pca_null_max,pca_TSR,pca_pperm,pca_pct,pca_zrob,pca_delta,pca_zero_frac,pca_null_collapsed,pca_zrob_collapsed,pca_fallback,pca_separation_flag,pca_nominal_trigger,param,n_positive
circle_r2_noise01,0.5345224838248489,0.1336144025377161,1.0,0.0003968253968253,0.0416666666666666,2.36322083733801,2.041480964583529,2.5403646168676723,0.0049751243781094,27.0,28.0,0.9642857142857144,results/circle_noise_robustness/analysis_summary.csv,,,,False,False,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle_r3_noise01,0.3563483225498992,0.3173105078629141,0.9047619047619048,0.0027777777777777,0.0833333333333333,2.434118972182548,2.083074610541417,2.615421054460565,0.0049751243781094,27.0,28.0,0.9642857142857144,results/circle_noise_robustness/analysis_summary.csv,,,,False,False,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle_r2_noise01,,,,,,1.063193668849881,1.4067064282987247,,0.0049751243781094,,,,results/circle_noise_robustness/per_k_summary.csv,,,,False,False,False,,False,6.0,0.75,0.9442175077274442,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle_r2_noise01,,,,,,2.059859681498186,1.8535628399128803,,0.0099502487562189,,,,results/circle_noise_robustness/per_k_summary.csv,,,,False,False,False,,False,8.0,1.0,1.2453185198828578,0.0248756218905472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle_r2_noise01,,,,,,2.429981565480608,1.997409200839372,,0.0099502487562189,,,,results/circle_noise_robustness/per_k_summary.csv,,,,False,False,False,,False,10.0,1.0,1.2474667616188526,0.0248756218905472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle_r2_noise01,,,,,,2.513270610016921,2.1093505957119127,,0.0049751243781094,,,,results/circle_noise_robustness/per_k_summary.csv,,,,False,False,False,,False,12.0,1.0,1.2439497401937842,0.0149253731343283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle_r2_noise01,,,,,,2.758560794185619,2.24738932562653,,0.0099502487562189,,,,results/circle_noise_robustness/per_k_summary.csv,,,,False,False,False,,False,14.0,1.0,1.245565134100616,0.0248756218905472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle_r2_noise01,,,,,,2.834466143169096,2.2726292865314432,,0.0049751243781094,,,,results/circle_noise_robustness/per_k_summary.csv,,,,False,False,False,,False,16.0,1.0,1.2463167272508144,0.0149253731343283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle_r2_noise01,,,,,,2.8832133981657626,2.4033190751638385,,0.0049751243781094,,,,results/circle_noise_robustness/per_k_summary.csv,,,,False,False,False,,False,20.0,1.0,1.2408081712201238,0.0149253731343283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle_r3_noise01,,,,,,2.3088249534986502,1.936737661175316,,0.0049751243781094,,,,results/circle_noise_robustness/per_k_summary.csv,,,,False,False,False,,False,6.0,1.0,1.26824873033911,0.0199004975124378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
