dataset,type,k,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger,k_init,k_used,seed
helix_p10_r2,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.0032331831753253937,0.09161798469722271,0.48876482248306274,0.03528983076821721,1.0,0.0,-1.9945558764292446,-0.48553163930773735,0.0,False,False,False,False,False,False,6,6,100
helix_p10_r2,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.0031218379735946655,0.09533332102000713,0.4153243601322174,0.03274655639980017,1.0,0.0,-2.0615969228379902,-0.41220252215862274,0.0,False,False,False,False,False,False,6,6,200
helix_p10_r2,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.002874898724257946,0.08039579354226589,0.394385427236557,0.03575931771493476,1.0,0.0,-2.1328393542161446,-0.39151052851229906,0.0,False,False,False,False,False,False,6,6,300
helix_p10_r2,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.002158772200345993,0.087470144033432,0.3395390585064888,0.024680103413299598,1.0,0.0,-2.193573999694165,-0.3373802863061428,0.0,False,False,False,False,False,False,6,6,400
helix_p10_r2,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.002934686839580536,0.07932629995048046,0.31831902265548706,0.03699513076212457,1.0,0.0,-2.2575215274359066,-0.3153843358159065,0.0,False,False,False,False,False,False,6,6,500
helix_p10_r2,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.0026586437597870827,0.08520521782338619,0.3119204416871071,0.031202828038850036,1.0,0.0,-2.0972571722015343,-0.30926179792732,0.0,False,False,False,False,False,False,6,6,600
helix_p10_r2,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.0033325795084238052,0.09310702793300152,0.33834902197122574,0.03579299632231939,1.0,0.0,-1.801089626959451,-0.33501644246280193,0.0,False,False,False,False,False,False,8,8,100
helix_p10_r2,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.003205118700861931,0.0931099858134985,0.4072345718741417,0.03442293189956484,1.0,0.0,-2.2090881377492186,-0.40402945317327976,0.0,False,False,False,False,False,False,8,8,200
helix_p10_r2,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.0029730191454291344,0.08581472933292389,0.33738894760608673,0.03464462532836835,1.0,0.0,-2.1284517533870213,-0.3344159284606576,0.0,False,False,False,False,False,False,8,8,300
helix_p10_r2,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.0022323792800307274,0.08520952798426151,0.3378638029098511,0.026198704919675842,1.0,0.0,-2.090514349957807,-0.33563142362982035,0.0,False,False,False,False,False,False,8,8,400
helix_p10_r2,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.0030298493802547455,0.07829561084508896,0.3123626485466957,0.038697563599200055,1.0,0.0,-2.0245848281311756,-0.30933279916644096,0.0,False,False,False,False,False,False,8,8,500
helix_p10_r2,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.002732575871050358,0.08618666976690292,0.2825302183628082,0.0317053191451656,1.0,0.0,-2.0683996962855624,-0.27979764249175787,0.0,False,False,False,False,False,False,8,8,600
helix_p10_r2,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.003364378586411476,0.08791027218103409,0.32476481795310974,0.03827059685863471,1.0,0.0,-1.84721727074741,-0.32140043936669827,0.0,False,False,False,False,False,False,10,10,100
helix_p10_r2,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.003240346908569336,0.09445428475737572,0.39757124334573746,0.03430598110883475,1.0,0.0,-2.080784527474602,-0.3943308964371681,0.0,False,False,False,False,False,False,10,10,200
helix_p10_r2,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.003009355627000332,0.08086495287716389,0.3276154473423958,0.03721458456217012,1.0,0.0,-2.1488890826227083,-0.32460609171539545,0.0,False,False,False,False,False,False,10,10,300
helix_p10_r2,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.002254432998597622,0.08276399224996567,0.3354443982243538,0.02723929739591939,1.0,0.0,-2.0160911719747165,-0.33318996522575617,0.0,False,False,False,False,False,False,10,10,400
helix_p10_r2,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.0030773989856243134,0.07670777477324009,0.30854471772909164,0.04011847553499572,1.0,0.0,-2.0491580790246298,-0.30546731874346733,0.0,False,False,False,False,False,False,10,10,500
helix_p10_r2,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.002776338718831539,0.08728422969579697,0.2896149903535843,0.03180802223352177,1.0,0.0,-2.1462446791775633,-0.28683865163475275,0.0,False,False,False,False,False,False,10,10,600
helix_p10_r2,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.0034077297896146774,0.0845230482518673,0.2860296294093132,0.04031716626475402,1.0,0.0,-2.06835547475179,-0.2826218996196985,0.0,False,False,False,False,False,False,12,12,100
helix_p10_r2,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.0032613109797239304,0.09176690317690372,0.3364453539252281,0.03553907636396312,1.0,0.0,-2.02404537931857,-0.3331840429455042,0.0,False,False,False,False,False,False,12,12,200
helix_p10_r2,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.0030374890193343163,0.07789047993719578,0.332109272480011,0.038996922624491344,1.0,0.0,-2.379922883984921,-0.32907178346067667,0.0,False,False,False,False,False,False,12,12,300
helix_p10_r2,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.0022730911150574684,0.08337860368192196,0.3450114503502846,0.027262283303540795,1.0,0.0,-2.228560209287977,-0.3427383592352271,0.0,False,False,False,False,False,False,12,12,400
helix_p10_r2,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.003110598772764206,0.07398195751011372,0.2958044037222862,0.042045369944380365,1.0,0.0,-2.144819367713431,-0.292693804949522,0.0,False,False,False,False,False,False,12,12,500
