Scenario,Budget,method,publication_config,N_SAMPLES,NOISE_LEVEL,TOTAL_PROJECTIONS,N_NULLS,SUBSAMPLE,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
Linear Drift,5,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.030471108853816986,0.16151071712374687,0.4532892554998398,0.18866307695409373,1.0,0.0,-2.6991245407304216,-0.4228181466460228,0.0,False,False,False,False,False,False
Linear Drift,5,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.007483541965484619,0.09685736894607544,0.5486177206039429,0.07726352725494491,1.0,0.0,-2.6113155425096974,-0.5411341786384583,0.0,False,False,False,False,False,False
Linear Drift,5,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.013150549493730068,0.16396185755729675,0.49382050335407257,0.08020493113195172,1.0,0.0,-2.3577787706202646,-0.4806699538603425,0.0,False,False,False,False,False,False
Linear Drift,10,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.030471108853816986,0.19376258552074432,0.5276212096214294,0.15726002402252973,1.0,0.0,-2.5219126443802704,-0.49715010076761246,0.0,False,False,False,False,False,False
Linear Drift,10,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.012787523679435253,0.11168940737843513,0.6328681707382202,0.11449182137741166,1.0,0.0,-2.461121577500557,-0.620080647058785,0.0,False,False,False,False,False,False
Linear Drift,10,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.013150549493730068,0.1768667884171009,0.6026168167591095,0.07435284832923564,1.0,0.0,-2.546751237298267,-0.5894662672653794,0.0,False,False,False,False,False,False
Linear Drift,20,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.03401497006416321,0.21716070920228958,0.5276212096214294,0.15663501095090338,1.0,0.0,-2.6021979919127136,-0.49360623955726624,0.0,False,False,False,False,False,False
Linear Drift,20,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.012787523679435253,0.12092115730047226,0.6328681707382202,0.10575092039149347,1.0,0.0,-2.725778643878767,-0.620080647058785,0.0,False,False,False,False,False,False
Linear Drift,20,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.013150549493730068,0.19638339430093765,0.7196793258190155,0.06696365311575794,1.0,0.0,-2.544231175326844,-0.7065287763252854,0.0,False,False,False,False,False,False
Linear Drift,40,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.03401497006416321,0.23898714780807495,0.6139088571071625,0.1423297042372233,1.0,0.0,-2.57972097395757,-0.5798938870429993,0.0,False,False,False,False,False,False
Linear Drift,40,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.012787523679435253,0.1256839968264103,0.6429524719715118,0.10174345184928456,1.0,0.0,-2.811339809462389,-0.6301649482920766,0.0,False,False,False,False,False,False
Linear Drift,40,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.013150549493730068,0.210339967161417,0.7196793258190155,0.06252045044570956,1.0,0.0,-2.9784013587295424,-0.7065287763252854,0.0,False,False,False,False,False,False
Linear Drift,100,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.03401497006416321,0.26655133813619614,0.6511234492063522,0.12761132734083455,1.0,0.0,-2.6201726990423473,-0.617108479142189,0.0,False,False,False,False,False,False
Linear Drift,100,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.012787523679435253,0.13532935082912445,0.6574760377407074,0.09449187187402613,1.0,0.0,-3.0686273902298704,-0.6446885140612721,0.0,False,False,False,False,False,False
Linear Drift,100,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.01374300941824913,0.2270166203379631,0.7196793258190155,0.060537459317864764,1.0,0.0,-2.682270847530311,-0.7059363164007664,0.0,False,False,False,False,False,False
Helix,5,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,3.147480219602585,0.20700979977846146,0.6579388976097107,15.204498641879576,0.0033222591362126247,100.0,43.393922770975436,2.489541321992874,0.0,False,False,False,False,True,True
Helix,5,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.7473549246788025,0.13932771235704422,0.5340805798768997,5.364007719858706,0.0033222591362126247,100.0,10.78814263839666,0.21327434480190277,0.0,False,False,False,False,True,True
Helix,5,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,3.4671629071235657,0.19992946460843086,0.630119651556015,17.341930634870597,0.0033222591362126247,100.0,43.25493723730332,2.8370432555675507,0.0,False,False,True,True,True,True
Helix,10,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,3.147480219602585,0.22652867436408997,0.6579388976097107,13.894400911603263,0.0033222591362126247,100.0,39.8208600780858,2.489541321992874,0.0,False,False,False,False,True,True
Helix,10,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.8183732628822327,0.14454302564263344,0.5340805798768997,5.661796957951522,0.0033222591362126247,100.0,12.536418191373667,0.28429268300533295,0.0,False,False,False,False,True,True
Helix,10,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,3.4671629071235657,0.2100580632686615,0.630119651556015,16.50573585776902,0.0033222591362126247,100.0,45.755697271193945,2.8370432555675507,0.0,False,False,True,True,True,True
Helix,20,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,3.6553426384925842,0.2769380211830139,0.9040345251560211,13.199136120293717,0.0033222591362126247,100.0,34.6253001743828,2.751308113336563,0.0,False,False,False,False,True,True
Helix,20,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.8183732628822327,0.15771641954779625,0.5340805798768997,5.188890701573619,0.0033222591362126247,100.0,11.361648928824497,0.28429268300533295,0.0,False,False,False,False,True,True
Helix,20,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,3.6579062044620514,0.23701359331607819,0.711823508143425,15.433318204532188,0.0033222591362126247,100.0,39.30359130158423,2.9460826963186264,0.0,False,False,True,True,True,True
Helix,40,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,3.7447814643383026,0.3091726005077362,0.9040345251560211,12.112268222269222,0.0033222591362126247,100.0,35.1115838255986,2.8407469391822815,0.0,False,False,False,False,True,True
Helix,40,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.8183732628822327,0.16988332197070122,0.542142778635025,4.817266659163607,0.0033222591362126247,100.0,10.091606700100018,0.27623048424720764,0.0,False,False,False,False,True,True
Helix,40,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,3.6732946932315826,0.256156325340271,0.7278289198875427,14.340050702779795,0.0033222591362126247,100.0,41.330453111938134,2.94546577334404,0.0,False,False,True,True,True,True
Helix,100,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,4.715450122952461,0.35413068532943726,1.0654218196868896,13.315564898174534,0.0033222591362126247,100.0,38.603421909638506,3.6500283032655716,0.0,False,False,False,False,True,True
Helix,100,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.8214161396026611,0.18405774608254433,0.5648783296346664,4.462817550910452,0.0033222591362126247,100.0,10.103300120561066,0.2565378099679947,0.0,False,False,False,False,True,True
Helix,100,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,3.7704191505908966,0.28055932372808456,0.7278289198875427,13.438937264589761,0.0033222591362126247,100.0,38.64303317465128,3.042590230703354,0.0,False,False,True,True,True,True
