dataset,type,param,k,k_used,seed,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
helix_p12,helix,12.0,6,6,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010193707421422005,0.07163180224597454,0.25231096893548965,0.014230700752545351,1.0,0.0,-2.24396396667223,-0.25129159819334745,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,6,6,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0014948369935154915,0.06576843559741974,0.26286204531788826,0.022728790489147787,1.0,0.0,-2.423819047998212,-0.26136720832437277,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,6,6,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0028176233172416687,0.06766066700220108,0.3425869345664978,0.041643445771948485,1.0,0.0,-2.1524534306704153,-0.33976931124925613,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,6,6,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0008693402633070946,0.07082050293684006,0.3422292619943619,0.012275262491006652,1.0,0.0,-2.100336591763743,-0.3413599217310548,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,8,8,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0012560561299324036,0.06879736669361591,0.32856129854917526,0.01825732859090234,1.0,0.0,-2.18759594644697,-0.32730524241924286,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,8,8,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0019224947318434715,0.06772156991064548,0.3074042834341526,0.02838821861855386,1.0,0.0,-2.1968914629961778,-0.30548178870230913,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,8,8,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0018732734024524689,0.0690163616091013,0.23447852209210396,0.02714245374213257,1.0,0.0,-2.4991084512930954,-0.2326052486896515,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,8,8,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0020534461364150047,0.06612768955528736,0.35136479139328003,0.031052742810061852,1.0,0.0,-2.200020731651886,-0.349311345256865,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,10,10,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010157888755202293,0.0630397330969572,0.2235141508281231,0.016113470435253886,1.0,0.0,-2.1149277009696106,-0.22249836195260286,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,10,10,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0007219091057777405,0.060295162722468376,0.17751777917146683,0.011972919106108582,1.0,0.0,-2.243936383596198,-0.1767958700656891,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,10,10,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0011028684675693512,0.06321023404598236,0.2868063524365425,0.01744762512269169,1.0,0.0,-2.4157349823435963,-0.28570348396897316,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,10,10,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0023440467193722725,0.0633302666246891,0.3161747306585312,0.037013056225180016,1.0,0.0,-2.086582295172384,-0.3138306839391589,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,12,12,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0006008576601743698,0.06357140466570854,0.22416925430297852,0.009451697084947858,1.0,0.0,-2.6489119011751403,-0.22356839664280415,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,12,12,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0020973971113562584,0.05945537053048611,0.2079322189092636,0.03527683189268038,1.0,0.0,-2.090944454438761,-0.20583482179790735,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,12,12,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.002193458378314972,0.06217746064066887,0.24350358545780182,0.03527738758834102,1.0,0.0,-2.3005616755426606,-0.24131012707948685,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,12,12,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.001868104562163353,0.06565565802156925,0.3277802914381027,0.028453062819371766,1.0,0.0,-2.2660964661817506,-0.32591218687593937,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,14,14,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0014844192191958427,0.06901409849524498,0.40425726771354675,0.021508927183575527,1.0,0.0,-2.215027908525974,-0.4027728484943509,0.0,False,False,False,False,False,False
