arch,optimizer,block_size,n_seeds,seeds_fired,p_min,p_median,zrob_median
mlp2_mnist,adam,1,3,0,0.8009950248756219,0.8308457711442786,-1.4520113061813325
mlp2_mnist,adam,5,3,0,0.0845771144278607,0.1044776119402985,5.030315449656281
mlp2_mnist,adam,10,3,2,0.0049751243781094,0.0099502487562189,4.7007942614977765
mlp2_mnist,adam,20,3,2,0.0049751243781094,0.0497512437810945,4.014453533237659
mlp2_mnist,adamw,1,3,0,0.8208955223880597,0.8308457711442786,-1.143677579471796
mlp2_mnist,adamw,5,3,0,0.1094527363184079,0.1492537313432835,3.106482145733988
mlp2_mnist,adamw,10,3,2,0.0099502487562189,0.0497512437810945,4.147623717539629
mlp2_mnist,adamw,20,3,2,0.0199004975124378,0.0348258706467661,2.5368327279776626
mlp2_mnist,sgd,1,3,0,0.9850746268656716,0.9850746268656716,-1.8386077069919085
mlp2_mnist,sgd,5,3,0,0.1641791044776119,0.1990049751243781,3.240266257944071
mlp2_mnist,sgd,10,3,2,0.0348258706467661,0.0497512437810945,4.188314907825829
mlp2_mnist,sgd,20,3,2,0.0348258706467661,0.0348258706467661,3.235066644557598
mlp2_mnist,sgd_momentum,1,3,0,0.9303482587064676,0.9552238805970148,-1.0642375102903656
mlp2_mnist,sgd_momentum,5,3,0,0.1243781094527363,0.1592039800995024,5.685913288344344
mlp2_mnist,sgd_momentum,10,3,2,0.044776119402985,0.0497512437810945,6.059885052486636
mlp2_mnist,sgd_momentum,20,3,2,0.0298507462686567,0.0348258706467661,4.36613172934794
resnet18_cifar10,adam,1,3,0,0.2885572139303483,0.3134328358208955,4.562461981549859
resnet18_cifar10,adam,5,3,0,0.1293532338308457,0.2437810945273631,4.562461981549859
resnet18_cifar10,adam,10,3,0,0.1492537313432835,0.3233830845771144,4.562461981549859
resnet18_cifar10,adam,20,3,0,0.1492537313432835,0.3333333333333333,4.562461981549859
resnet18_cifar10,adamw,1,3,0,0.4328358208955223,1.0,0.0
resnet18_cifar10,adamw,5,3,1,0.0348258706467661,1.0,0.0
resnet18_cifar10,adamw,10,3,1,0.0398009950248756,1.0,0.0
resnet18_cifar10,adamw,20,3,0,0.0597014925373134,1.0,0.0
resnet18_cifar10,sgd,1,3,1,0.0497512437810945,0.0945273631840796,4.150048036589149
resnet18_cifar10,sgd,5,3,1,0.0149253731343283,0.2686567164179104,0.875698995408693
resnet18_cifar10,sgd,10,3,1,0.0049751243781094,0.3333333333333333,0.4403588598540353
resnet18_cifar10,sgd,20,3,1,0.0099502487562189,0.4378109452736318,0.2094573807229793
resnet18_cifar10,sgd_momentum,1,3,0,0.1990049751243781,0.2288557213930348,82.64460868369629
resnet18_cifar10,sgd_momentum,5,3,3,0.0199004975124378,0.0248756218905472,6.484274636677102
resnet18_cifar10,sgd_momentum,10,3,2,0.0049751243781094,0.0149253731343283,5.893810309647518
resnet18_cifar10,sgd_momentum,20,3,2,0.0199004975124378,0.0248756218905472,4.86314884735583
smallcnn_cifar10,adam,1,3,0,0.4925373134328358,0.6119402985074627,-0.6284359367287887
smallcnn_cifar10,adam,5,3,1,0.0497512437810945,0.0796019900497512,4.766621822640735
smallcnn_cifar10,adam,10,3,1,0.0049751243781094,0.0796019900497512,1.6338238099728946
smallcnn_cifar10,adam,20,3,1,0.0099502487562189,0.0945273631840796,1.2716021476087378
smallcnn_cifar10,adamw,1,3,0,0.5671641791044776,0.6218905472636815,-0.6638380878211958
smallcnn_cifar10,adamw,5,3,0,0.1691542288557214,0.2985074626865671,1.3657066910043023
smallcnn_cifar10,adamw,10,3,0,0.2587064676616915,0.3233830845771144,0.3108571988133765
smallcnn_cifar10,adamw,20,3,0,0.308457711442786,0.3830845771144278,0.321629797152368
smallcnn_cifar10,sgd,1,3,0,0.9850746268656716,0.9900497512437813,-2.56360768007188
smallcnn_cifar10,sgd,5,3,0,0.2885572139303483,0.4378109452736318,0.2181300705656685
smallcnn_cifar10,sgd,10,3,0,0.0945273631840796,0.3930348258706467,0.3129656708364908
smallcnn_cifar10,sgd,20,3,0,0.0845771144278607,0.3681592039800995,0.2773472616844475
smallcnn_cifar10,sgd_momentum,1,3,0,0.7810945273631841,0.835820895522388,-1.3540253990546098
smallcnn_cifar10,sgd_momentum,5,3,0,0.1492537313432835,0.1592039800995024,1.858124919356856
smallcnn_cifar10,sgd_momentum,10,3,3,0.0149253731343283,0.0298507462686567,3.614530083534426
smallcnn_cifar10,sgd_momentum,20,3,2,0.0248756218905472,0.0348258706467661,2.293569420553583
