arch,optimizer,n_paths,connected_initial_count,adaptive_growth_count,k_used_min,k_used_median,k_used_max,graph_density_median,graph_density_max,edge_max_over_median_median,edge_max_over_median_max,edge_max_over_allpair_p95_max,near_complete_graph_count
mlp2_mnist,adam,3,2,1,12,12.0,48,0.06663316582914573,0.2830653266331658,50.742614839919376,51.79412284454959,1.0644991959108263,0
mlp2_mnist,adamw,3,0,3,24,48.0,48,0.27768844221105526,0.287035175879397,25.39551906386611,38.07314064024101,1.245415997468728,0
mlp2_mnist,sgd,3,3,0,12,12.0,12,0.06673366834170855,0.06693467336683417,46.113895451501534,46.279685070301085,0.5227959844293248,0
mlp2_mnist,sgd_momentum,3,3,0,12,12.0,12,0.0714070351758794,0.07155778894472362,67.97314737649592,69.76946251596073,0.6063313057169023,0
resnet18_cifar10,adam,3,3,0,12,12.0,12,0.07010050251256282,0.07025125628140703,4.696064100843591,4.698226353189682,0.3721565809706939,0
resnet18_cifar10,adamw,3,3,0,12,12.0,12,0.0700502512562814,0.07015075376884422,4.792672937421478,4.803443762946661,0.39574641403787936,0
resnet18_cifar10,sgd,3,3,0,12,12.0,12,0.06824120603015076,0.06824120603015076,12.702626256375684,12.761143887995448,0.346621860986011,0
resnet18_cifar10,sgd_momentum,3,3,0,12,12.0,12,0.07457286432160803,0.07462311557788945,17.34156156748439,17.51987023176073,0.5218957757160753,0
smallcnn_cifar10,adam,3,3,0,12,12.0,12,0.06974874371859296,0.06994974874371859,8.026800678821411,8.092668433589433,0.4227298171021065,0
smallcnn_cifar10,adamw,3,3,0,12,12.0,12,0.06984924623115578,0.07020100502512563,8.042373864117128,8.179525460466067,0.4317528103698796,0
smallcnn_cifar10,sgd,3,3,0,12,12.0,12,0.06678391959798995,0.06723618090452262,14.77350380392157,15.496949083224317,0.29867609596811096,0
smallcnn_cifar10,sgd_momentum,3,3,0,12,12.0,12,0.06949748743718592,0.06969849246231155,10.226158672764745,10.250782753963342,0.3783138805566074,0
