arch,optimizer,k_value,filtration_pct,n_seeds,seeds_fired,p_min,p_median,zrob_median,Lobs_median
mlp2_mnist,adam,8,90.0,3,0,0.8507462686567164,0.8656716417910447,-1.488922836248195,0.002706513274461
mlp2_mnist,adam,8,95.0,3,0,0.8159203980099502,0.8308457711442786,-1.3890325612253498,0.002706513274461
mlp2_mnist,adam,8,99.0,3,0,0.8208955223880597,0.8258706467661692,-1.5498541091547164,0.002706513274461
mlp2_mnist,adam,10,90.0,3,0,0.8109452736318408,0.8159203980099502,-1.003181487137008,0.003039087401703
mlp2_mnist,adam,10,95.0,3,0,0.8009950248756219,0.8208955223880597,-1.090167410658031,0.003039087401703
mlp2_mnist,adam,10,99.0,3,0,0.8059701492537313,0.8258706467661692,-1.2030516314361974,0.003039087401703
mlp2_mnist,adam,12,90.0,3,0,0.8059701492537313,0.8258706467661692,-1.3361527719811408,0.0026786979287862
mlp2_mnist,adam,12,95.0,3,0,0.8557213930348259,0.8706467661691543,-1.552514248546623,0.0026786979287862
mlp2_mnist,adam,12,99.0,3,0,0.8208955223880597,0.8507462686567164,-1.2648549425710778,0.0026786979287862
mlp2_mnist,adam,16,90.0,3,0,0.7860696517412935,0.8756218905472637,-1.3877522497077803,0.002706513274461
mlp2_mnist,adam,16,95.0,3,0,0.8557213930348259,0.8656716417910447,-1.6941643618849818,0.002706513274461
mlp2_mnist,adam,16,99.0,3,0,0.7860696517412935,0.835820895522388,-1.3688133041943211,0.002706513274461
mlp2_mnist,adamw,8,90.0,3,0,0.8258706467661692,0.845771144278607,-1.3862260544216456,0.0016335987020283
mlp2_mnist,adamw,8,95.0,3,0,0.7711442786069652,0.8159203980099502,-1.3033013294053577,0.0016335987020283
mlp2_mnist,adamw,8,99.0,3,0,0.7412935323383084,0.7810945273631841,-1.103547889531599,0.0016335987020283
mlp2_mnist,adamw,10,90.0,3,0,0.8159203980099502,0.8308457711442786,-1.428719490208743,0.0015707479324191
mlp2_mnist,adamw,10,95.0,3,0,0.8258706467661692,0.835820895522388,-1.5281185119664291,0.0015707479324191
mlp2_mnist,adamw,10,99.0,3,0,0.7711442786069652,0.8258706467661692,-1.1121244959195005,0.0015707479324191
mlp2_mnist,adamw,12,90.0,3,0,0.7960199004975125,0.8159203980099502,-1.2371368901974094,0.0015902610030025
mlp2_mnist,adamw,12,95.0,3,0,0.8159203980099502,0.8159203980099502,-1.154203675521622,0.0015902610030025
mlp2_mnist,adamw,12,99.0,3,0,0.7562189054726368,0.8308457711442786,-1.2204738798017585,0.0015902610030025
mlp2_mnist,adamw,16,90.0,3,0,0.7562189054726368,0.845771144278607,-1.1582915973243242,0.0016335987020283
mlp2_mnist,adamw,16,95.0,3,0,0.8009950248756219,0.8308457711442786,-1.6436763084764323,0.0016335987020283
mlp2_mnist,adamw,16,99.0,3,0,0.7711442786069652,0.8407960199004975,-1.1825100864713374,0.0016335987020283
mlp2_mnist,sgd,8,90.0,3,0,0.9900497512437813,0.9950248756218906,-1.582599363824352,0.0060425288975238
mlp2_mnist,sgd,8,95.0,3,0,0.9850746268656716,0.9950248756218906,-1.7738735730977344,0.0060425288975238
mlp2_mnist,sgd,8,99.0,3,0,0.9900497512437813,0.9900497512437813,-1.773059686932705,0.0060425288975238
mlp2_mnist,sgd,10,90.0,3,0,0.9800995024875622,0.9900497512437813,-1.786842591113049,0.0060459012165665
mlp2_mnist,sgd,10,95.0,3,0,0.9800995024875622,0.9900497512437813,-1.744321007303534,0.0060459012165665
mlp2_mnist,sgd,10,99.0,3,0,0.9950248756218906,0.9950248756218906,-1.671561140016312,0.0060459012165665
mlp2_mnist,sgd,12,90.0,3,0,0.9701492537313432,0.9701492537313432,-1.6893281448955424,0.006049127317965
mlp2_mnist,sgd,12,95.0,3,0,0.9800995024875622,0.9950248756218906,-1.6500447727367338,0.006049127317965
mlp2_mnist,sgd,12,99.0,3,0,0.9850746268656716,0.9950248756218906,-1.6825966283327962,0.006049127317965
mlp2_mnist,sgd,16,90.0,3,0,0.9850746268656716,0.9900497512437813,-1.804133960972996,0.0060425288975238
mlp2_mnist,sgd,16,95.0,3,0,0.9900497512437813,0.9900497512437813,-1.776045709901105,0.0060425288975238
