dataset,type,seed,n_adjacent_transitions,n_flips,flip_rate,k_sequence,decision_sequence
helix_p10_r2,helix,100,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p10_r2,helix,200,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p10_r2,helix,300,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p10_r2,helix,400,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p10_r2,helix,500,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p10_r2,helix,600,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p25_r3,helix,100,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p25_r3,helix,200,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p25_r3,helix,300,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p25_r3,helix,400,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p25_r3,helix,500,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
helix_p25_r3,helix,600,6,0,0.0,"6,8,10,12,14,16,20","False,False,False,False,False,False,False"
circle_r1_n005,circle,100,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r1_n005,circle,200,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r1_n005,circle,300,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r1_n005,circle,400,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r1_n005,circle,500,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r1_n005,circle,600,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r2_n01,circle,100,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r2_n01,circle,200,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r2_n01,circle,300,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r2_n01,circle,400,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r2_n01,circle,500,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
circle_r2_n01,circle,600,6,0,0.0,"6,8,10,12,14,16,20","True,True,True,True,True,True,True"
